player_index,username
0,254finest
1,aclercq
2,actect
3,adisajoshua
4,aibyouka
5,akpos1001
6,alainmugisha
7,alealarcon2110
8,alphapapanovember
9,alvinnsengimana
10,anastasiyasokovnina
11,aqwsdefrtgy
12,arnoldelmarvin
13,ashmandeluxe
14,atcsean
15,augiep
16,a_a_062
17,badnomadic
18,becamerogue
19,benbegov
20,beni0312
21,boomboomwolf
22,bru_neza
23,bugpath
24,buji4ut
25,camel2015
26,canor
27,catfish112
28,cd891
29,ch000132
30,checkm4t34689
31,chessnude
32,chesswaterjet
33,chillmountain
34,chrisfieldswee
35,coolcoconut5
36,crosler
37,cyclingpanda
38,da7oomomakyala
39,dachnik09
40,darcycartel
41,dbara7
42,dgmars
43,didiprince
44,divinebrown
45,dizmat
46,dniz36
47,dylanmcewan
48,dynoonlowquality
49,ebbizo8
50,edmondmukunde
51,emasengesho19
52,entuzjazm
53,eternal_phoenix_bird
54,f0rtitud3
55,faister21
56,flexyflexx
57,frankmuhire
58,furas4
59,futuristiccadet
60,gaagaisibo
61,gahire
62,galafr
63,gaterror
64,german1898
65,goldensam
66,goofy_doof256
67,gregoiresmithers
68,haharun
69,homelessivan
70,ian_murara
71,ionnu
72,ishimweged
73,isibo
74,isithe
75,izja
76,javwho90
77,jonathanlal
78,jonnyblaze83
79,kaasch84
80,katunzeelijah
81,kibagabaga
82,kingtigos
83,kkennyr
84,kritktch
85,lada90210
86,leastfromtheeast
87,lisizsch
88,liteninglarryluciano
89,luanafrica
90,macrisga
91,mamafelixrwanda
92,marek12346
93,masterntare
94,mdijk
95,mgoings
96,mmugume2
97,monkey_monkey11
98,mozses
99,mpazzo
100,mtimotej
101,mukundaviviane
102,murenzijp
103,mvhatsi
104,myky13
105,nathanross95
106,neza717
107,nhm_chess
108,ninthrat
109,noolwolkor
110,nosliwluap2
111,not_rasta
112,novipacis
113,nsengaphil
114,oleg-888_888
115,ozzimandias
116,patty779
117,physicalvoice
118,pie620
119,ponjy
120,preyanshkaushik
121,probijamhimen
122,ptah7imhotep
123,ramsesivi
124,rare_udaddy
125,raul318
126,redsnail13
127,reeciejay
128,reggenzi
129,romuganga
130,roy_kigali
131,rukamakama
132,ruyenzisgrandson
133,rwandanturtle
134,rwandarwanda
135,ryuken91
136,sajouchess
137,sam6as
138,savage_ange
139,scar888
140,schiwago07
141,serge_harden
142,shahdhardik
143,shawnsean9
144,silvis93
145,simmokr
146,sisterfister72-11
147,stella04
148,superman3000
149,swagl0rd420
150,szl1
151,tarkoislamov
152,tcd1990
153,thiermub
154,tmaxletitgo
155,tom0680
156,trepanat
157,umdirtydan
158,umuhoza
159,umwami
160,vdmcedric11
161,volpinist
162,wherkewitz
163,yanadesnitskaya
164,yanivmedovoy
165,yntze
166,ziggyjr
