player_index,username
0,3ivan
1,aamoy
2,amapacar
3,babyshark77
4,balslan
5,beatardo
6,bedouintent
7,blocksbunny
8,bolsa1
9,boraini
10,born2bug
11,caissa2013
12,candegabe
13,cbshi
14,cenk1
15,chessbase142011
16,chessmhb
17,chiefrocket
18,chindo
19,chriskaituu
20,clandemore
21,corgiburrito
22,cpspiff
23,cumdumpsexboy
24,czajan
25,da9el16
26,dearorion
27,dermattes
28,dfakarii
29,dj-jj
30,duruanamahn
31,dvahid
32,elsalaete1
33,evanmiller101
34,faydee21
35,garrunex
36,georgethepotter
37,gommeiberique
38,gregoriobenazzo
39,guguargentinobr
40,halwale
41,hummingdeputy
42,ignatius76
43,jamie2015
44,johngond
45,justreverie
46,lecimy
47,liefdegenadehoop
48,maldivas
49,marcbeltran
50,monevik
51,mrudolf
52,musicadelazar
53,muzach22
54,mwale1996
55,nak8662
56,nesentochterslobster
57,nikkotenno
58,nma12
59,noamhalpert
60,not_sr_ffs
61,prodar
62,ralesrba
63,salamanguster
64,shimonzohar
65,theian
66,titoss33
67,trexonwilliams
68,triplez001
69,tsana7
70,ttamok
71,tutiintutu
72,wtf6925
73,yashher
74,ymca12301922
75,yousloth
76,zorgito2k
