player_index,username
0,1e4c6_o-1
1,2knicks4u
2,69jared
3,69original
4,abe365
5,abel72
6,abokeblawi
7,ace9010
8,ada0
9,adam8991
10,adamo25
11,adrian_seven7
12,adrirookafella
13,ajulu
14,aka-mrincognito
15,aldabrachelys
16,alercalert
17,alkofanko
18,aloysb
19,alphaaps
20,alvinmaulana07
21,amateur410
22,ani_ni
23,anush210
24,apatel21102002
25,aromrom
26,asafliberman12
27,atomesnecron
28,atomicpumpkin
29,atzeicke
30,augury7
31,avliyarov13
32,awjon
33,bamleo
34,barama1
35,barnabyvergara
36,bbddbdb
37,biggg_bosss
38,bl4ckalbino
39,blue011
40,bram1990
41,brilembi
42,bsonon
43,bsukdi
44,bubbab0y
45,burralhao
46,cafeserre
47,calum67
48,camurcu
49,capatolia
50,captainamerica4444
51,cashman07
52,ccclk
53,cedric1208
54,chessnathanchess
55,chessnewbie1010
56,chessraja139
57,chesssky2
58,chess_wingy
59,chukytoolucky
60,cinnabom
61,common_man94
62,complimentfischer
63,connorbwhite
64,cornelll
65,dah_happyhoppyhorsi3
66,danieldumont
67,dan_87
68,daripintohoareau
69,datolyarenok
70,denarth
71,dfmbb
72,dianacoburn
73,dieselvinh
74,djentdjent00000
75,djkutlass
76,dondiego40
77,dongambota
78,dsluser2086
79,dtumbenia
80,dukxeker
81,dumas_tarkazof
82,ebby27
83,ed_chessmore
84,eetchells
85,eiertollah
86,ekline1
87,elilouise
88,elirosen22
89,emiru1
90,emw95
91,epiloque
92,erdovata
93,ericgamer2009
94,ertetofcb
95,ethanchessplaya
96,exbadguy
97,exitfullscreen
98,exquisitemeat
99,falconsss
100,fandango1000
101,fatut
102,fiedya
103,firdavs0
104,firemonknl
105,fragmentet_rolf
106,framory71
107,fuekvadsr
108,functional-yeti
109,fxlema23
110,g4z4r
111,gabrieleasaro
112,gambit_bot
113,ganeshseychelles
114,gatha98
115,gator_dino
116,gator_lion
117,ghoui85
118,giasuko
119,greenmushroom
120,griego-negro
121,gunslinger19
122,guzmanpardo
123,gvllup
124,haschonado
125,heffles
126,herrepd10
127,hewhoshallbenamed
128,hillcrea
129,honoreks
130,hotcircus
131,hpillay0914
132,i2guns
133,iketronic
134,ilovefridays
135,iq7777
136,j0hnnyreb
137,jackyduc
138,jadonyariv
139,janthr
140,jayydevolt
141,jetset257
142,jjwintz
143,johankepler
144,jojukname
145,jr2001
146,jshroff
147,judem10
148,jumpybuns
149,kaastjappings
150,kabosoter
151,kalirajg1971
152,kennethhobson
153,kenrend
154,kesjames
155,khabatkhalid
156,kingnico100
157,kistatus
158,klipp
159,konicyuwa
160,kowek
161,l1777
162,laurent8
163,learsi2000
164,lebowski401
165,leeroy97chr
166,lhugo2211
167,lionyyy
168,lizlemonxxx
169,lowlyspirit
170,luzdiking
171,m3222656
172,madamemus
173,madwhu
174,maliros
175,manchesster7
176,mangalatua
177,manitasevic
178,marcuskingi
179,marijjuana
180,marti_0011
181,matijae
182,maxchildish
183,maxpowermate
184,me-a-panda
185,melvinmemoria
186,meranreti
187,mesuckatthisgame
188,moebutta
189,moledomist
190,molekhaz
191,moll444
192,momsspaghetthi
193,morr_e4
194,mozzjohn
195,mpwii
196,mrcalculation
197,mupto1
198,mzximvs
199,n0wt
200,nattoalco
201,navsta
202,nesan777
203,nicanor34
204,nicodeloin
205,ninkynonk69
206,notorioussam
207,noute29
208,nozzza17
209,nxf8
210,oelbi
211,oeuf-dur
212,okahandja
213,omleeh
214,oneshotkiller
215,ooteev
216,own_strategy_test
217,panfraz
218,panslavistsrb
219,paraxad
220,parrik
221,paskuarov
222,pezzik
223,philipkvv
224,pipapuu
225,poltkm
226,pony247
227,princemyshkin70
228,quesocrimson
229,quesodabuten
230,rabidspanial
231,rising_to_the_top
232,runningrefrigerator
233,ryanfish91
234,r_ru
235,saintdesperaux
236,salt2
237,samuelerossi22
238,samuelicious
239,samuelnalletamby
240,sananton
241,schimu
242,semyon_77
243,senortorso
244,seychellian
245,seydoukeita
246,seypete
247,silentkills02
248,simas777
249,sircryalot
250,sleepnstone
251,smoothbar
252,sn_romania
253,soreairplane
254,soumyasatheesan
255,soylentpeople
256,sprucidon
257,svbh
258,sweetcreature
259,takamakabay
260,tarrasch54
261,tejas030
262,terrytoweling
263,thameralboqami
264,thedeadvictory
265,thefunnygoose
266,theyimone
267,tiramelapiola
268,tocilizmab
269,tomziltoid
270,tresmasseis9
271,treyseph
272,troglodit13
273,tropical_storm
274,trying87
275,twilson2211
276,ubmaitu
277,vasya030518
278,vdbeltzelf
279,vidhyasahar11
280,vlad172
281,vladimirkra
282,vohaa92
283,vsinuchess
284,wates
285,whackadoodle69
286,willise2n
287,wosiecki
288,xabierlosa
289,xavisr
290,xderlouisx
291,xevros
292,xiaofufu
293,xuoji-bsa
294,youngtulip
295,yumakit
296,zzzzzzzzzzzz69
