player_index,username
0,-kingcrimson-
1,-msdeal-
2,000william000
3,0113123
4,012456789
5,01isakk
6,01johanh
7,01masterchef10
8,0210nemo
9,021r
10,029a
11,03051964
12,03alice
13,03felkli
14,03jone
15,040elite
16,04viggan
17,05hast22
18,06arre1
19,06george16
20,0770
21,08mackan
22,09wilma
23,0dysseuz
24,0eleanor0
25,0gah0gah
26,0hn0n0n0
27,0i0f
28,0kand
29,0l0fighter
30,0li3
31,0livi4
32,0lss0n
33,0nawa4
34,0neo0ne
35,0netwo0ne
36,0nlyagh0st
37,0nz_zn0
38,0o928461g3741927462a
39,0r8ack
40,0rgesgamer123
41,0skarn
42,0sse
43,0thdimension
44,0u33n
45,0x474247
46,0xsaisaki
47,1-casper
48,10-rivera
49,1000000001
50,1000lax
51,1000slash
52,100shots
53,101297
54,10kalle
55,10korvbrod
56,10mata17
57,10rca
58,1105419527
59,111jorgen
60,1188el
61,11ellen
62,123219
63,123321bd
64,123am9
65,123emil123
66,123etta
67,123joke
68,123julgranskorv
69,123ladd
70,123mackan123
71,123meinkraft
72,123noobmaster69
73,123one50
74,123pedobeer
75,123xyz1231
76,12call
77,12guitar34
78,12strolla
79,1337lol
80,1337mamma1337
81,135397
82,135iqmove
83,13alko
84,13byby13
85,13carlan
86,13_adrian_37
87,142312andy
88,144317
89,1470wk
90,14dagarstoff
91,15md0725
92,16bitme
93,16caicara20
94,1756howardst
95,1891aik1891
96,18goat
97,18humussis
98,19891201
99,1989nova
100,1999edvin
101,19foppa77
102,19leo82
103,19mek71
104,19mike78
105,19qviant
106,19street95
107,1alpeer
108,1antti
109,1banker1
110,1br4h1m1
111,1cezarek
112,1chessmasta2
113,1dllb2
114,1falken1
115,1hustler2
116,1jakob2
117,1jocke23
118,1kido
119,1matheus195
120,1miguel1
121,1mist
122,1mistatwista1
123,1mvx
124,1n32w03hr33
125,1ncepti0ns
126,1nv41n
127,1pedram
128,1pudd
129,1rajden
130,1sak_andersson
131,1shwary
132,1sim
133,1strnd
134,1surikaten
135,1sylvekula6
136,1tnecniv
137,1viktoris1
138,1westen
139,1_pawned_1
140,2001206vo
141,2001narwan
142,2007theo
143,200ponys
144,2021ariosto
145,2021kingofchess
146,205emil
147,20hampe00
148,20nono06
149,20tecken
150,20xnuggets
151,211nil
152,21daddy
153,21hampus21
154,21luk
155,22an
156,22lettersinarow
157,23komma4
158,240gorgomandelpotat
159,24jola17
160,24rolles
161,250sport
162,256axel
163,25movesahead
164,25ol
165,26x2600
166,2750irl
167,29acik
168,2broder
169,2bt3x
170,2doot2doot
171,2izi93
172,2kingsniv
173,2kiokid
174,2l84me2
175,2maniak
176,2ndac
177,2ndbrekfast
178,2ndqueen
179,2paclever1
180,2saxy
181,2screenz
182,2stoned2move
183,2upp
184,30sant
185,3113x
186,31145
187,314lif
188,323icecat
189,333trashstar
190,33bebedetto
191,35draken
192,37737
193,3alexander
194,3dg3_hunt3r
195,3dmikael
196,3gnirc
197,3ld3lin
198,3lv1s
199,3lvispen
200,3m31i3
201,3n0k
202,3plus0moment
203,3r1kr
204,3rnestscribbler
205,3rsatt
206,400dodo
207,413x
208,413xx
209,414sigge
210,418olsson
211,420dusuger69
212,420kingofchess
213,420viggo
214,431ollie
215,45485
216,45hakan17
217,466666
218,470200kaggen
219,4d4142
220,4everwilliam
221,4gold
222,4lfred0511
223,4m421n9
224,4ndr34s88
225,4ortyhehe
226,4rvid
227,4seas
228,4th4
229,4thefunofit
230,4tr0x
231,4van7
232,50iqman
233,50slakuppderbak
234,520501
235,524thunberg
236,527405ben
237,5412al
238,59mb12
239,5almen
240,5amton
241,5erdnes
242,5headpepega420
243,5nour
244,5rvhvvu
