player_index,username
0,-ghost-
1,0190
2,0b5353n
3,0pingtaco
4,112peter
5,11alien11
6,11pukis11
7,11tomi12
8,123456789lcw
9,12345fire
10,12345stane
11,1234filip
12,123domen321
13,123enej
14,123zlatko456
15,12opic
16,14krpan
17,14miles
18,179cm75kg15cm
19,17afonya
20,1981bole
21,1990sk
22,19jaka53
23,19kramar55
24,1alen
25,1bllaz0
26,1clipper
27,1jaguar1
28,1joze1
29,1kaq
30,1kiki16
31,1meh1
32,1slavko1
33,1volkec
34,20x04
35,2187marj
36,23sine
37,23_az
38,2510001l
39,2anej2
40,2cripple4u
41,2h4d0w
42,2tyler4grossgore
43,31kluka
44,366sickgambit
45,369queen44
46,3omkara
47,4001
48,420mateit
49,4everjurifff
50,4f5g1j
51,55mutombo55
52,5hci
53,5kesaodtjasakappa
54,5th_force
55,64matija64
56,69ed
57,69godofchess69
58,6magnumdong6
59,6onions
60,700poodles
61,88hunter88
62,8chessmaster92
63,8erty
64,8xaleksanderx8
65,9gp
66,a1310
67,a1ndrej
68,a7x2002
69,aaallleeesss
70,aambrozius
71,aarmin01
72,abajda
73,abbie16
74,abc_ziga
75,abdakovski
76,abiesalba01
77,abittttttt
78,abnaxis
79,absulute_joke
80,acatanna
81,aceonator
82,acepjunior
83,acerose
84,achilesss
85,acibis
86,acidless
87,aciksun
88,ackoo15
89,ackov
90,aco6
91,acocar24
92,acokonj
93,acotank
94,activity5
95,ad007
96,adam528
97,adamantonkastrevc
98,adamgia
99,adamihin
100,adamodisej
101,adamskarlovnik
102,adeney
103,adhvayiyer
104,adiadi777
105,adijopamet32
106,adipreradovi
107,adk13
108,admiral2289
109,adnankadiric
110,adorabletable
111,adrianborovnik
112,adrijan11
113,adrijskiromel
114,adsf404
115,aeneapeitho
116,aenix
117,aertys
118,aexerian34
119,afnatessaje
120,afraidbread
121,afrokp
122,afy355
123,ag2718
124,agaem
125,agasi
126,agim6666
127,agrecife
128,ahimsa646
129,ahoj2
130,aholobar
131,aik6513
132,aikentineahac
133,aina1313
134,airsandfire
135,aixx86
136,aj543
137,aja1002
138,ajda16
139,ajgabobi
140,ajgabobi14
141,ajkom
142,ajlaaa
143,ajq9
144,ajsimi
145,ajtim
146,ajudez
147,ajuvan
148,akiba970
149,akki69
150,akogoj
151,akramovski
152,akujuku
153,al1968al1968
154,alanandrej12345
155,alanm90
156,alaric45
157,alarmin
158,alazeh
159,albatros1
160,alberob
161,albertradman
162,albertzerdin
163,albinaarifaj
164,albinf
165,alcojone
166,aldebaranspika
167,aldinsmoke
168,aldivia
169,alec1102
170,alekdar
171,aleks65
172,aleksandarmarijanac
173,aleksanderbenko
174,aleksanderjez
175,aleksandermavec
176,aleksandersah
177,aleksantonturel
178,aleksaradonic
179,aleksejulcnik
180,alekstasner
181,aleks_tiktok_fens
182,alemzi
183,alen2511
184,alen4444
185,alen987m
186,alenb1
187,alenbenkoc
188,alenblazevic
189,alenbrkic123
190,alencakija
191,alendominic
192,alenfvv
193,alenkac
194,alenmuhi
195,alenokc
196,alensmid
197,alenzo1
198,ales1968
199,ales1976
200,ales58
201,ales64
202,ales68
203,alesb
204,alesfriday
205,alesg1337
206,alesh7
207,aleshlad
208,aleskorosec
209,aleskov
210,alesl
211,aleslukek
212,alesoblak
213,alesp84
214,alesperkus
215,alesprosenik
216,alesprsin
217,alessela
218,aless_82
219,alestaja
220,alesxxx
221,ales_slo
222,alex618454
223,alex6900
224,alexalexgl
225,alexcar113
226,alexeibizjak
227,alexiraza
228,alexnkpo123
229,alexpanda243
230,alexpodlesnik
231,alexrobnik
232,alexspark
233,alex_nevihta
234,alfacenturion
235,alfaromeoecho
236,alfazeta123
237,alica2
238,alien588
239,alien85
240,alina922
241,alioter
242,alitrix8
243,alja88
244,aljafarasin
245,aljaslk
246,aljathebuggsy
247,aljaz2012
248,aljaz86
249,aljaz98
250,aljazantloga
251,aljazb777
252,aljazbelc
253,aljazcm
254,aljazinka
255,aljazizazi
256,aljazkovacic
257,aljazziberna
258,aljazzz
259,aljo95
260,aljo96
261,aljomen
262,aljopeljhan
263,aljorookie
264,aljosa
265,aljosa1980
266,aljosa3115
267,aljosan123
268,aljosaorelj
