player_index,username
0,-vitruvius-
1,01martin
2,04katie
3,07hana07
4,0907235563
5,0derp
6,0dtime
7,0livernagy
8,0neils
9,10fredy10
10,10geek
11,10norbert10
12,111georgelebien
13,11dzony02
14,11simon
15,123bad
16,123natalka123
17,12janci
18,152peter152
19,1976mb
20,19991
21,19adam98
22,19stanley89
23,1b6
24,1bumbo
25,1cheguevara2
26,1denislu
27,1dusan
28,1eldarion1
29,1en97
30,1fluxx1
31,1grant1
32,1in
33,1jozefstuller1
34,1jurajivan
35,1luky1
36,1m0nst3r5
37,1memer1
38,1pablo10
39,1pepe1
40,1ramyar1
41,1thewhite1
42,1wobler
43,200atmosfer
44,20fiakra
45,22adam4
46,22anna
47,22pipo22
48,22samo
49,23571113171923
50,2413iam
51,25dia
52,2614peter
53,285elevation
54,28blackjack28
55,2gud5u
56,2headguy
57,2rody2
58,2sks
59,304763
60,333michal333
61,33sam33
62,3adam30
63,3cerberus36
64,3eetle
65,3joker
66,3rr0rless
67,3thnik
68,3tomi3
69,40ty
70,42_adam
71,48calimero48
72,48marek
73,4dylay
74,4mebehinme
75,4n4n45
76,4nci
77,524694
78,54321jp
79,54895
80,5ggeorgefloyd
81,5mk
82,5pipo15
83,5t4n0
84,5t4nd0
85,68jagr68
86,69adamko69
87,69hotgrill69
88,69szipu69
89,74901764938jdjdj
90,77ado
91,77giorgio
92,7adrian77
93,7pepa7
94,835gunter
95,856785
96,86golo
97,88henry14
98,8csvb8
99,8hitboy
100,8lia8
101,8paulii8
102,92adam92
103,99laws
104,9kubo9
105,a-cid
106,a-mat1
107,a113ycat
108,a5568
109,aalpaca
110,aardum3
111,aarryah
112,ab1970
113,abaratschobul
114,abcd130559
115,abcd44
116,abdel780
117,abec3
118,abeenko
119,abelp
120,abibask
121,abieyani
122,ablo123
123,aboudeeb
124,abrakadabbr
125,abrakadabbraa
126,abrakadabbraa111
127,abrakadabbraaa
128,absentjelly
129,absinthdrinker
130,abstrqct
131,acasw
132,aceleaf
133,achkon
134,acidofilus
135,acidvolcano
136,acmilan11_nr
137,acustica15
138,acyx11
139,ad4mzz
140,adaanetal
141,adagobert
142,adalbert65
143,adalth
144,adam171018
145,adam3411
146,adam9523
147,adambok
148,adamchess91
149,adamdocolomansky
150,adamecckoo
151,adamecek665
152,adamecjo
153,adamek123456
154,adamek175
155,adameom
156,adames071
157,adamhala007
158,adamharmatsvk33
159,adamhrusecky
160,adamhuserka
161,adamisso
162,adamixaa
163,adamkasparov
164,adamkingkral
165,adamklimcik
166,adamko131
167,adamko69
168,adamkojeop
169,adamkontra
170,adamkorkos
171,adamkubala
172,adamkusy
173,adamlollipop
174,adammarek2312
175,adammasiar
176,adammojzo
177,adamnagy0215
178,adamo6969
179,adamocr
180,adampekar
181,adampoliakchess
182,adampoliakchess2
183,adamprikler
184,adampurdek
185,adamrozzon
186,adamrucki
187,adamshafiq0
