player_index,username
0,1b31-o
1,2amal
2,aftershock_12
3,amadou82
4,amadu657
5,anskam
6,asapv
7,asdfg020370
8,atiliamanasa
9,bezerp
10,bigmanchess1
11,bigmansam1
12,bundurahman
13,chesser_2209
14,cornytrix
15,cromostar2020
16,curvypoppy
17,dedelesh1
18,dezomindgrind
19,dont-touch-that
20,dragvil
21,elliotmason
22,eloisekn
23,fichof
24,firstmother
25,fodaykargbo
26,gamsaga
27,gatsbeey
28,georgiegreene12
29,gface882
30,h3nnaz
31,its28g
32,jabbeckley
33,jamraray
34,juhoro
35,kaptip
36,kasiselim
37,kingcha_ching
38,kingdesbrettes
39,kovalam2000
40,kukurgenhi
41,kupabo
42,lansanasesay
43,larosse
44,lonelyguppy
45,lubaah
46,mahermh
47,mardipardi
48,meganmanary
49,mozo187
50,mvww
51,naimzpolat
52,natuskay
53,navajomike
54,netunonera
55,nollakkallon
56,notoriousmigg
57,oddbob333
58,pola35
59,pyrex10
60,rocksullah
61,roger7457
62,rookie_1989
63,rosehill84
64,rubensteinsystem
65,salonecap
66,scl2006
67,sczj
68,secret_gm_smurf
69,senzen
70,shallowlagrange
71,shubhkush1234
72,slowcynicalquip
73,sonnycheeba
74,srdjannn6185
75,tapalapaman
76,vikoinche
77,vincentalexander78
78,xxmachograndexx
79,zenoprime
80,zulupawnz
