player_index,username
0,1slipperyguy
1,3lobstahs
2,4g4t4m
3,4g4t4m4
4,alexcount
5,alexey777777
6,alexjcap1
7,alicereginabiamca
8,alikk
9,alittlebreeze
10,alllberto
11,andre2798
12,andreevskygreg
13,apricottea
14,babi2701
15,beatbound
16,bi2izz
17,black_knight_88
18,blocken7
19,boredfig
20,buccello23
21,castilian
22,chessdappo
23,chifres
24,ciavat
25,ciboper
26,cosmapolitan
27,dado0017
28,dam-marc-gen
29,danib2310
30,danyelodac
31,deehessem
32,dimaomikor
33,dio3453
34,drjmosher
35,dtb13b
36,edwardfontana
37,eliasamorini
38,eliasrsm
39,elvergonzalez
40,em4nu3l390
41,endriu20
42,eneaventurini
43,er_crusa
44,ewtn
45,famo5
46,fedegiardi99
47,fedya9
48,flaviomattos
49,formulawallaby
50,fortizio
51,frankmaserati
52,frenk84
53,galeott
54,galesgambit
55,galluscornutus
56,gas1767
57,gaussianna
58,giampigio
59,giuliano7777
60,giuliogiallo
61,grazianomeister
62,harry_hagrid
63,hmzoro
64,iko42
65,insanity9812
66,ioannucc
67,ipetrovskyn
68,jacotette
69,jerukliar
70,kappaaaaaa
71,kaspitov
72,kaymaro
73,lazzi1973
74,lldjango
75,lorenzo20rsm
76,lousimmons
77,luca050795
78,lucadomi
79,lucavailatti
80,lucavalentini95
81,lucavolpinari
82,luigicanti
83,lupone46
84,magleb
85,manolo88
86,marcoerco
87,marcomolly
88,marcosirimiaak
89,marcovolp
90,maremmaialo
91,maresssssss
92,martaveronets
93,masterproelite
94,matty923
95,maxonoff
96,maxscacchi88
97,miamo92
98,michi2002
99,mikestuff
100,mirkobimb
101,mirroch
102,mirrorspock81
103,misterminestrone
104,mnmr78
105,momo621
106,moro002
107,mrioda
108,naco1968
109,naezene
110,narod1977
111,nawaf49
112,nd911
113,nonosqure
114,norecpersempre
115,oldman1010
116,palmarsm
117,pampa26
118,paolinoscacchista69
119,parrocomulato
120,pa_fa
121,pierobritoea
122,pistolinopuntonet
123,plaize
124,playstandar
125,possamai1985
126,profanity8
127,rankar110
128,redmickchess
129,rocpio
130,roipnol
131,romancherednichenko
132,romanovast
133,ronaldmcchavez
134,rosescience
135,rsmrook
136,samu1204
137,scarjaco
138,scrubmastah69
139,sdrogotime9999
140,sebastianjurewicz
141,shalla-21
142,simo255
143,smic4
144,speedbeast94
145,srym0
146,stefanopalmucci
147,strangeoldman
148,svetlanasimon
149,timua01
150,tomisnotverygood
151,tommydee172
152,tommymat
153,umbertot1
154,urbo2525
155,van_dik
156,wimlexonline
157,yoka2
158,yossarian1985
159,zaff_god
160,zeusrsm
161,zoraf
