player_index,username
0,16373779
1,17penyamun
2,1man
3,2shiftty
4,4bdulahi
5,5tormfather
6,7enry
7,9876512345
8,a1243364262456345674
9,aba502
10,abalo85
11,abasg
12,abbadabdullah
13,abdalla-fresh
14,abdallahajiabdi
15,abdi-obeid
16,abdi32603
17,abdiaziz_so
18,abdifatah89
19,abdifatahall
20,abdikani11
21,abdiladifey
22,abdinasirmuse
23,abdiqalak
24,abdirahim77
25,abdirahmanmed
26,abdirahmen205
27,abdirizakmohamoud
28,abdiweliabdalla
29,abdul506
30,abdulaziz_hashi
31,abdulkadirmoha
32,abdullahdiriye
33,abidart
34,abrdekarni
35,abshirali
36,abutalha1984
37,adambeel
38,agmed321
39,ahmadnour14
40,ahmedabdi777
41,ahmedcantar
42,ahmedmohmead
43,ahmedqani
44,ahmedwaliid
45,aidiid
46,akjeylani
47,alishnur
48,almaghdashi
49,alphagojr
50,amazingcell
51,amiin5555
52,anasawmuuse
53,andrew1987danucop
54,apdayn
55,aqiilstreak
56,arkansayshello
57,armaaanfx
58,asadsiyaad
59,asal638
60,aweys_9
61,awil69
62,axmed1122
63,ayanleshire
64,ayanley
65,ayushkaushik305
66,ayuub88
67,azharisom
68,baaaaas
69,baashafutsal
70,badakacab
71,banditmo
72,barbahaari
73,benccliff
74,bermi
75,bey08
76,bighungrybear
77,blackbonem
78,blackfishh
79,blckwhite
80,bloogrox
81,bo20
82,bob_number_5
83,bogof1
84,boilookhi
85,boolowm
86,bruxelles007
87,buuxyusuf
88,caawiya
89,cabdalla
90,cabdirhaman
91,cabdixaaji80
92,cadceed
93,calamin
94,cali_wiil-hore
95,captainautumn007
96,catreef
97,cenario6
98,cengiz64
99,chamiiqe
100,chehehess
101,chipopo0
102,chris112233
103,civ_elmi
104,clshakuur
105,cmatrx
106,cohh1901
107,colde_iii
108,cosoble11
109,crazy4dek
110,dalasjr123
111,dalmate
112,danrobo
113,dayniile
114,deekyare
115,dell3819
116,deyr1219
117,dheg29
118,dibjanno
119,difre-guru
120,diini99
121,dinadalel
122,diraac1
123,diriye7
124,dlycl_yolc
125,dockhaliid
126,donmukhtar
127,don_sultan
128,doorgal
129,dosyara
130,drabdullahi00
131,drmmc272
132,dr_misio
133,duraan2
134,egmhd
135,eland
136,elwaaqian
137,emranme
138,enoiw
139,enomilous03
140,essa312
141,ezanx9
142,f7df
143,fahad432
144,farku77
145,faroole
146,fartfuldodger
147,fatha_adan
148,fette
149,fetusgrinder420
