player_index,username
0,abrahamchol
1,ace0940
2,adamlis
3,aden78
4,al33r
5,arthur_leclecrq
6,benjamina1998
7,bigmax500
8,blackkingthreat
9,bonimir
10,cabdulahi12
11,chessfun14
12,d-wise-1
13,davejacklem
14,dengmatr
15,dengmrefu
16,dimavipaseev
17,duganiero
18,ej2016
19,elyzachess
20,emanuel502
21,ettenro
22,evaneds
23,frank240187
24,fridaysamuel8
25,garangaguto
26,garang_akuot_22
27,guyalmog
28,igm0z33
29,imactuallybad
30,jacobyath
31,john-chol-thon
32,jok18294002
33,joshuagm01
34,jpalazzo
35,kalad288
36,kemfn
37,kennethmuturi
38,kingpower4
39,kouso
40,kuot_bitter
41,kwo2072551
42,kyle_broflovskii
43,labacaloca1134
44,lokang2120
45,lololulumalakal
46,maati1
47,mabues
48,mammad0kakka
49,mathiek
50,mattitjo
51,mayomjohn
52,mvp5
53,neoinv
54,ney51
55,nuttavutmaiai
56,osiris19
57,oyit_olamson
58,pableets
59,princehendrix
60,reas99
61,saddamirobe
62,sanday_255
63,santa12y
64,sean_the_terrible
65,shipmind
66,somaliwoman
67,sossa13
68,takenlike
69,tambua05
70,taureau4
71,teddybuggie
72,thesixgod
73,toxicplayer729
74,un99546
75,vikingsman
76,wanibullen
77,wanimann
