player_index,username
0,alexandercosta
1,aqu11a
2,axyorulmaz
3,barback
4,camilorivera97
5,chessguyzz
6,chess_beast_king1
7,christopheryoo
8,david_cupperfield
9,dragonbankrs
10,dyenda
11,eddiemeduza
12,edjossme
13,edmilson_viegas
14,faithfulneutron
15,fhjhgggj
16,gil_rivado
17,gumastp
18,hamiltoncruz
19,hcs009
20,herbaurelio
21,herde500
22,hotishos
23,hugodo1691
24,input_error
25,jacobchoppa
26,jamiies
27,jay-verra
28,jayvere
29,jdm65
30,jezoon
31,jorciley
32,jotta3
33,justrod
34,karl_metzer
35,kitxiba
36,lackingpoetry
37,laveboy
38,macohan
39,marccram62
40,mchmat
41,michell_rosamonte
42,mightygmpretender
43,mikehsm
44,monadl
45,moonsnorter
46,nel8737
47,neuzasantiago
48,nktmld
49,nortesur
50,novalsalas
51,omocatl
52,patrick_taktik
53,peasantelevator
54,plokijy
55,qlauscarvalho
56,rcotrim
57,rita2368
58,rowic-le-mulet
59,salimtrindade
60,samuelllllito
61,sashgrey404
62,saume
63,sergiocostapereira
64,shalos98
65,sindejorge
66,skibatheemperor
67,skrotskale
68,sungjen-choi
69,sybariticgusto
70,tarcisot
71,tarzanelli
72,tiborio
73,tofesa57
74,udamia
75,wllliam1
76,xxirdilan
77,youarescrewdriver
78,yourookinforfun
79,yozzak
80,zonzonix
