player_index,username
0,2008matthew
1,adamalaby
2,adamxroberts
3,aljavit
4,anivarsanzar
5,apacheguydosrazonea
6,aronold
7,bam234
8,basilrolls
9,berbere01
10,bibobabube
11,big_bo
12,cantthinkk
13,chaweherob
14,cmgmoraleda
15,crisrei85
16,ct-101
17,davidlopezyes
18,dharmatr
19,dp1010
20,edubelenguer
21,elkay_g
22,elrock
23,eprst1948
24,error_6146426
25,flakett
26,flupkesmis
27,foxtrails
28,frodopollote
29,glowingcreek
30,guest5569705763
31,huntergame43
32,idia55
33,ieatpieces
34,ignitehusky002
35,innercod
36,jack3602
37,jackthemaniac
38,julianoaloalo
39,karlangas1
40,kingjon11
41,kingkaesler
42,kingkhali007
43,kingpixelmouth
44,kobe3390
45,kokoajedrez
46,leexandor
47,lordblunder
48,lubinaalassal
49,luis4648
50,lulu11q
51,lwandiletshuma
52,mabuza222
53,magicross
54,makeart13
55,masterkheladi
56,masterpaleto
57,mikeldarko
58,mlavana
59,mlindos240
60,moonbtws
61,motsa-sandile
62,mrlegaxy
63,mshengu
64,msimeto711
65,murzan
66,nathijam
67,ndumieq
68,pasamonte96
69,patochetheboss
70,peche3009
71,pepe5050
72,piopiopoi
73,rajat_kanaujia
74,rami_kombina
75,ramo14
76,restothebesto
77,reynaert
78,rubenarriola93
79,rubnpolanco
80,rulas420
81,sakhilemenon
82,sandeepnarayanan4
83,seimerl
84,selvisto5
85,sijey7
86,smealow
87,sneglekongle
88,spacelion
89,spytro
90,suziecreamcheese2
91,thabomahlangu
92,thejuicy
93,timjaymcd
94,tre691
95,whiteking69
96,whyk2
97,xmigel
98,xurrera
99,xvi10
100,xx3p1cg4m3rxx
