player_index,username
0,abdalkitab
1,alikhan2121
2,amigosan76
3,andy_tucker
4,attractivelasagna
5,aviadams
6,awesome276
7,badjhang61
8,baek131
9,barondebeuf007
10,biggamer42069
11,blackmen666
12,demarifulford
13,divoc_backwards
14,djiburbek
15,dosphane
16,dretouchesthewalls
17,duude0001
18,eespiritu
19,enkelll
20,erictaveras
21,escaqueix
22,excellent-fehead
23,femaleiscool
24,flicker2
25,gmjamrock
26,gmoney5015
27,gotsha-55
28,griffon76
29,head_dunce
30,hiddenstew
31,hsdrive
32,hvvhncgn0
33,jggmx
34,kazbek66
35,kpbim_nytuh_bogka_ru
36,liwelch
37,lizgekeskin88
38,medvedev_timofei
39,monkeddimah
40,oscarwrenn
41,rexterminator
42,rst22
43,ryanthebully
44,scaccomonello
45,schtinyt
46,seila0312
47,shiddoshingles
48,superpatzer15
49,thegambit007
50,thehumblegoat
51,todmcdonald
52,zazorok
