player_index,username
0,1v1meirlbro
1,aak42
2,abdel333333
3,adam-sandler
4,adams36
5,ahmedaliahmrd
6,amady200
7,amaz0nriver17
8,anthonypanthony
9,arcoboe
10,avosturpis
11,bakhitmhtismailguire
12,batmanmuffinz
13,benosdelumiere
14,billyhussa
15,bobiojoe2
16,bonafidegenius
17,bouyebri
18,calcuiator
19,castor92
20,ch4dly
21,chadington69
22,chadr3
23,chapaev111
24,chefwhiteillius
25,chessbech
26,chessmannequin
27,cold420
28,coochieman420698
29,creatively
30,dawkiss
31,ddd54321
32,deadpxn
33,deltalima0112
34,dim508
35,dongsm4sher3131
36,eaingersoll
37,edgelordon
38,emptyvacation
39,falcrux
40,fartgoblin20
41,fatpee
42,focusedplayer
43,gmjusu
44,hamed776
45,hanalynn
46,hares2018
47,henryj160
48,highlordwolnir
49,imohammed_ahmed
50,ithinkimgoodatchess1
51,ixychess
52,jayv0n
53,jrweee
54,jsfkea420
55,k112121
56,kavinjk
57,kerstmanpoeper
58,kkd8623
59,liangan
60,millardfillmore2522
61,monkfiter
62,mono57
63,nihct
64,omar-khas
65,opalnopal
66,pepahsplayhouse
67,phillipcoulombe
68,plebico
69,policeboi112
70,protector_of_me
71,purplec0ne
72,ralice
73,redwood59
74,rekfbekabr
75,rerereeree
76,riosalto
77,roaming_rooster
78,sage_blade
79,sahem_si
80,sal1997
81,sali989
82,sergain
83,shawtywantahug
84,shrexypigeonlover
85,skulas
86,souley14
87,spr00tx86
88,sstephenn
89,stefhanappe
90,superlucky777
91,tchuna
92,tisallgoodman
93,tripkosp
94,tylercotton4
95,uladzislaukuzmin
96,umaraldjidi
97,venaterox
98,vivivinci
99,vladdytheladdy
100,wostofol
101,yahyajako
102,yayayoussouf
103,yoogchu
104,zainhamed
105,zundert
