player_index,username
0,abdulqader33
1,albrekh
2,alexanderjovcic
3,atlantees
4,beatlekingofdoom
5,bm5jotak
6,brigtw
7,c-bird
8,capivaradasemlimite
9,ceemanu
10,cessuga
11,chemacoronas
12,chessthe2ofus
13,correctbus
14,crisuhamaka4
15,devape47
16,don-monarch-ohhh
17,drvsh
18,eddie7894561
19,eestwa
20,elderistberri
21,emuss23
22,euskocia
23,evanp_1310
24,fort-simpson
25,fo_sho34
26,gerhard80
27,gideon2018
28,giuciancio
29,gravitycologne
30,grevilleasound72
31,gusitochess
32,helios1964
33,hi96759
34,hodors6e5
35,hodula
36,homesliice
37,hungry_caterpillars
38,icemanfoo
39,ilis22
40,jackli2
41,jenkos3
42,jg29
43,kaneohe
44,keonituha
45,klolie
46,krazytrimmer
47,kulanoa170
48,kvaziunofantast
49,lemu4you
50,lhyde
51,liop09
52,lukejos000
53,m8nu2
54,mapa707
55,mataingeli
56,mathnab
57,mattnikk
58,meovak
59,mrszwischenzug
60,numberonelooser
61,ofterolo
62,pavanone
63,pawntheprawns
64,peauafi03
65,rhwilson18
66,sabanadzovic
67,saia11
68,sanijvea
69,seyhefendi
70,sirgreendino
71,skittleskeets
72,softspicyjoker
73,streetdog7
74,super_tuffy
75,taahine
76,tapes4
77,taumoepeau
78,tlovve
79,tmaka
80,tomtuip
81,tonga6761235
82,tongan9879
83,tonganwolf1
84,tuunga-lelei
85,viliarmy
86,vvv333vvv
87,whiteporcupine
88,wiegeeom
89,wolfraven73
90,wwwell
