player_index,username
0,-fc-barcelona-
1,0-xtzr
2,00000000000000000oo
3,0001er
4,0002boiit
5,000chesss
6,000gx
7,000rooknroll
8,001575gldn
9,001arslan
10,001elvan
11,001hakan
12,001xox100
13,005emre
14,0074ick
15,007ali8
16,007gurkan007
17,007mert
18,007meyra
19,007muhammed
20,007murat
21,007recep
22,007snejder007
23,009712
24,009alperen
25,00alber00
26,00aylin00
27,00baray
28,00cvvici
29,00deniz
30,00douwantlose00
31,00dracula00
32,00ilker00
33,00king10009
34,00luffy00
35,00mey
36,00omerbas00
37,00otuz00
38,00pika
39,00px00
40,00shaggy00
41,00the_human00
42,00zeren00
43,00_haktan
44,019gg
45,01adanal
46,01birdal
47,01kobi
48,01mgklp
49,01orhan01
50,01sca
51,01sirbaris01
52,01umut01
53,023onur023
54,02482
55,02bea
56,02crazyboy02
57,02kasparov02
58,02ozmen07
59,02pikachu02
60,0312rodin
61,03sdc03
62,04girdap
63,05467372754
64,05amasya
65,05ustad
66,0634mcnn
67,06akrep1966
68,06angaralii
69,06ankara06006
70,06bjk06
71,06cagla
72,06celil
73,06ege60
74,06emir
75,06eren07
76,06ferhat06
77,06ibo1910
78,06kral06
79,06mstk
80,06mustafa01
81,06nasuh
82,06ok60
83,06ozgur06
84,06pabeda
85,06pasha18
86,06reis06
87,06san
88,06sincap06
89,06theimam66
90,06vet
91,06zhukov16
92,07antalya4041
93,07berat
94,07berke
95,07ced
96,07cristiano
97,07fatih34
98,07fatihh
99,07gg07
100,07hsyn
101,07i
102,07ibrahimemre
103,07kursunkalem
104,08cwarishevli
105,08hkn
106,08kara
107,08murat08
108,08yenigokhan
109,09abx
110,09efe09
111,09efe090
112,09fatih123
113,09ferdi
114,0aac0
115,0ahmrttopl77009
116,0ahzee
117,0ayse0
118,0azula06
119,0blackburne0
120,0brass0
121,0burak00
122,0burakefebzn0
123,0burakgul
124,0ceanzz
125,0cemile0
126,0cortador0
127,0dvlia
128,0dysseuss
129,0efehanefe
130,0elay0
131,0emko0
132,0emperor
133,0ertugrul
134,0faruk
135,0fernweh0
136,0gd
137,0gunner00
138,0guzhand
139,0gypsum
140,0hc
141,0hoh0
142,0hollowpoint
143,0housemd
144,0ikra
145,0kawga0
146,0lazziya0
147,0lcay
148,0lightofgod0
149,0lool0
150,0merselcuk
151,0mesut0
152,0meyece0
153,0mrdodo0
154,0murilik
155,0n0iggaslayer
156,0n22
157,0neir0i
158,0nem
159,0nemanatwotwo
160,0neol
161,0nihaven
162,0nisa0
163,0nthere
164,0nuraltin
165,0nuraydogan
166,0nurr
167,0ouix
168,0o_shibumi_o0
169,0paksoylu
170,0pensh1ft
171,0pikachu
172,0rcunefe
173,0redbee
174,0rhanbaba
175,0selim0
176,0shadows0
177,0sirius0
178,0sm4n1614
179,0smankaya
180,0talia
181,0themi
182,0unravel0
183,0utsiders
184,0uygar0
185,0yuncu44
186,0yunusemre0
187,0yusufking
188,0z3r
189,0zdemir
190,0zgrylmz
191,0zgurrr
192,0zii
193,0zn
194,0zy7
195,0zzyy
196,1000eloplayer
197,1000s2me
198,1001fd
199,1005nemesis
200,100hakaner
201,100portakal
202,1010bit
203,101ciouz
204,1071ms
205,1071_alparslan_1071
206,107ali
207,10azrael
208,10cinar01
209,10esra07
210,10gul10
211,10iqbut20cm
212,10kolikpusat
213,10lucifer
214,10muharem10
215,10onur10
216,10ur54
217,10urgke
218,10urh
219,10urozkan
220,10yusuf10
221,11121983
222,111aliissa12
223,111maverick111
224,111v111
225,112358m
226,112samuray
227,11doga
228,11eleventrx
229,11enes11
230,11ezgikiller11
231,11mert
232,11numero
233,11ruv11
234,12112001
235,122177
236,123-mirac-123
237,12317gsfs2131
238,123345y
239,123456789000000
240,123456789gs
241,123456789tttaydi
242,123456acar
243,123457ph
244,12345ab46
245,1234sl
246,1234vv
247,123atakan123
248,123bed
249,123beyazit
250,123centil123
251,123d5
252,123furkanuysal123
253,123heymen123
254,123isa123
255,123kawa
256,123muusa
257,123tt321
258,123tymh
259,123x0
260,12635588716
261,128can128
262,12aey12
263,12erenay12
264,12harun34
265,12hotlive
266,12kalem
267,12mert26
268,12midas
269,12neymar12
270,12olcakseneyibuldum
271,12re34
272,12y2
273,12zulfikar
274,13070yusuf
275,13131designer
276,1313designer
277,131iq
278,1347o_fatih
279,13579k
280,1384d4ra
281,13ahmetyasin13
282,13azat13
283,13baris
284,13emir
285,13gm
286,13hussein
287,13ibo
288,13mk13
289,13profesor13
290,13rose
291,13torress
292,141yigit
293,1432fusne
294,143zafer143
295,144p_chess_player
296,1453aziz1453
297,1453emrah
298,1453istanbul34
299,1453rb
300,1453zst
301,1454kadir
302,14aftertheparty07
303,14isa14
304,14yasin53
305,14yy14
306,152473c
307,156numara
308,159samo
309,15ammar88
310,15karda
311,15m41l
312,15owl15
313,15sabri14
314,1616rcn
315,1629beyazkurt
316,16acar16
317,16akturk16
318,16erdem61
319,16exe16
320,16m16
321,16mesut
322,16mustafa16
323,16satan666
324,175ahmet
325,17ilker7
326,17komando
327,17mustafa03
328,17sk34
329,17trfurkan02
330,17trhakan
331,17tugkan
332,187cm82kg12iq
333,18ahmtc81
334,18asaf18
335,18beta
336,18hunter34
337,1903argun
338,1903aybars
339,1903gd
340,1903karakartal1903
341,1903piyon
342,1905gs84
343,1905oyuncu1905
344,1905zehra
345,1907akd
346,1907ekrem
347,1907gs
348,1907mg
349,1907rahman69
350,1907satranc1907
351,1907valbuena
352,1907yusuf
353,1907_fb_1907
354,19191919191929191919
355,1925batmazbugunes
356,1939d
357,1942562
358,1944turk
359,1965nevin
360,1967ferit
361,1968ferruh
362,1969gokhankarakus
363,1969tmce
364,1976m
365,1982ahmad
366,1988burak
367,199520oeb
368,19ahmedo03
369,19aks
370,19besiktasjk03
371,19cemal56
372,19che07
373,19dogukan
374,19efe87
375,19emre19
376,19furkan07
377,19marlon07
378,19murat76
379,19ondokuz19
380,19osman67
381,19sky
382,19tarikemre17
383,19unknown19
384,19yamtar19
385,19_covid
386,1a2s3d4f6
387,1akifov1
388,1alperen3
389,1amd1
390,1anily
391,1armut
392,1arslan
393,1ase1
394,1asliss
395,1ata2
396,1aydem1
397,1b2a3r4t5u
398,1balotelli
399,1balporsugu
400,1barakat
401,1barancapar
402,1baris1
403,1batuhanklc
404,1be0z
405,1beyzax
406,1bilge
407,1billgates
408,1birdman
409,1bluemate
410,1broke
411,1buraktass
412,1canan
413,1cebi
414,1cgraham
415,1chessman81
416,1d1lm
417,1d1sappear
418,1ded1
419,1defne2009
420,1deli1
421,1dgknylmz
422,1dikdortgen1
423,1dreamingpawn
424,1e2e3t5u8
425,1electus
426,1emar
427,1eminplt1
428,1emre2012
429,1enginyasar
430,1entelmaganda
431,1erdem
432,1ezgii
433,1fenci1
434,1ferhat1
435,1flamingo1
436,1flybywire
437,1furkancanyilmaz
438,1gardener
439,1gulay1
440,1h54nn
441,1hamledemat
442,1hasanmertsenoglu0
443,1hayalperestt
444,1hekza
445,1hsn1
446,1invention
447,1jacktheboy
448,1justonly1
449,1k2l3m
450,1kaangzn
451,1kadir1
452,1kan53
453,1kilodemir
454,1kingchess12
455,1kodumtek7
456,1komutanlogar
457,1lader
458,1liwo
459,1mathematician
460,1memati
461,1memati1
462,1mico
463,1missedcall
464,1mistake3
465,1mmutlu
466,1murki
467,1musab1
468,1nedal
469,1neji_hyuga
470,1nevher2
471,1nspector
472,1oakh
473,1obstacle
474,1of6billion
475,1omerhan
476,1ouz1
477,1ozdal
478,1ozlem
479,1pepe
480,1q1q11
481,1radyoarabesk
482,1rey
483,1roserouge
484,1rus111
485,1sah2mat
486,1sarperyucel2
487,1satrancustasi
488,1scale
489,1selenophile
490,1selin1
491,1selmabc
492,1serdar1
493,1sevoo
494,1sinand1
495,1smailatakan
496,1squate
497,1stkingloki
498,1subasiahmet
499,1tabya
500,1tawreos1
501,1tolkan
502,1tsukuyomi
503,1tsumu7
504,1turkishgm
505,1ugurarslan
506,1umutben
507,1ustaseref
508,1volkan1
509,1watax
510,1watermelonsugar
511,1yasak
512,1yasinsahin
513,1yavuz
514,1ylcn0
515,1ymy
516,1zat07
517,1zehra
518,1zeyra
519,1zir
520,1_hby_1
521,1_tahaozen_1
522,2002batuhan
523,2004batu
524,2005ilay
525,2008gaming2009
526,2008pro
527,2009cn
528,2009yusuf2009
529,2010ege
530,2010eray
531,2010ygt
532,201129082008
533,2012nehir
534,2012oa
535,2013ipek
536,2020uhursuz
537,2021m
538,20barkin06
539,20head
540,20jacksparrow20
541,20kaplan10
542,20nail20
543,20thcenturymali
544,20xyos
545,213kral
546,213ms
547,216174farok
548,2172omr7221
549,2189
550,21alihan21
551,21baris0
552,21batuhankitay
553,21enes09
554,21kilobyte
555,21mc01
556,21merlin
557,21whiterose21
558,21ya21
559,222furkan
560,22aslan22
561,22dxibrahim2
562,22e8
563,22fatih1453
564,23041923
565,23darkbull23
566,23enes58
567,23esra75
568,23frkn35
569,23ke13
570,23mehmet23
571,23muraat
572,23queen
573,23shevchenko
574,23xxshadowxx43
575,23zikreddin
576,242complete
577,24361
578,245748
579,2481681654a
580,24finn
581,24kasparov24
582,24murad24
583,24onur24
584,24yunus24
585,2500olcam
586,254iq
587,25699652
588,25hikmet2525
589,25omeryavuz
590,25sahin
591,25su
592,25yasin
593,25zeynep25
594,25_yusuf_25
595,26130im
596,261nt53
597,26arslan267
598,26selim26
599,26td
600,27abdi72
601,27berkay27
602,27celebi
603,27furkan27
604,287uyumsuz75
605,28chessboss28
606,28patoz
607,29440970094irem
608,29kaihavertz
609,29zakir29
610,2alet
611,2avitar
612,2baros
613,2bavixen
614,2buy
615,2cea
616,2celine
617,2d1sjoes
618,2dango
619,2gri
620,2hamlevemat
621,2hamleyemat
622,2kardes
623,2kazandibi
624,2kerem00omer6
625,2lara22
626,2lobi2
627,2ncer
628,2oom
629,2pgm
630,2pn
631,2pomak2
632,2raa
633,2sl7
634,2tough4fun
635,2wenty6ix
636,2wordlc
637,2xpanda94
638,2ybd2
639,2zara100bin
640,2znmn
641,3004fn
642,300q
