player_index,username
0,012kings
1,10littlesoldiers
2,123bap123
3,13grandmaster
4,1pj
5,1tsrl1
6,3awilliams
7,3plumes
8,585mitch
9,72anthony
10,8rcher
11,aamir466
12,aaron8688
13,aaron_morean
14,abbigailan
15,absurdthespian
16,acerambo1
17,adamiscool1w
18,adrian8273
19,adriansookram123
20,adriantt76
21,aehsreko
22,airmandj
23,ajaychaitooo
24,ajibolaalabi
25,ak-tt
26,akirakun101
27,alainapersad
28,alex-mango
29,alex7151
30,alex7251
31,alexaffex
32,alexd5000
33,alexis575
34,alex_a7
35,allkinating
36,alpacnosmith
37,alvares85
38,alvintouss
39,ambitiousizzy
40,amiram23
41,ammeil
42,amnyou88
43,amrishsurajbally1
44,amybengo
45,amyxsxr
46,anandrsingh
47,ancientforeskin
48,ancil434
49,andyb777
50,anfieldbantan
51,annie_marie836
52,anthony1o1o
53,anthonyguy
54,anthony_thompson
55,apollokree
56,aquadome
57,aragorn101
58,arcon1
59,arek2663
60,areohosein
61,arimakidd
62,arin593
63,ark_in
64,arrogantnico
65,artacar
66,artpassion
67,arvinsr
68,arya2021
69,ashly43
70,asta17
71,astar1000
72,atlas230
73,atswan
74,avidesh1234
75,avinath
76,ayanami_00
77,azh4200
78,azimabdool00792
79,bacardibee
80,baccanal
81,badaps
82,ballysay
83,baptistemoses
84,bar-b-que
85,barberboypalack
86,battery_pack
87,battzs
88,beanos10
89,bellsofdeath
90,berard93
91,bernzie241
92,betterbybike
93,bigbrainkneegrow
94,biigvibe
95,birdman101
96,birendra55
97,bishopofgod
98,bittenbutnotsmitten
99,bizubani
100,blacburnkin
101,blackchynee
102,blainbutts
103,blakhawkdown202
104,blitzfra94
105,blitzturbo
106,blueviper7172
107,bobbyreishad
108,bones453
109,booddd
110,bos3n
111,bountyhunter2324
112,bounty_k1lla
113,bpyute
114,bradley199009
115,brantkat
116,brilliance2020
117,brother_lap
118,bryan_fuentes
119,bryceboss2020
120,bstarboi
121,bulbie5life
122,buscapeben
123,byanymeans21
124,c1280
125,c7c6
126,c8414
127,calebgooding
128,calmknights
129,candledoor
130,capetown101
131,carib
132,caroni
133,casualcat17
134,catalunya5
135,catnmouse
136,caylonalonzo
137,chairopractor
138,charliesilverstudios
139,checkmatetoday1
140,cheersmates
141,chess19480
142,chessbanton
143,chessglzr
144,chesskami
145,chesskoda
146,chessmanarvyn
147,chessmankes
148,chesssavagequeen
149,chesstivity
150,chess_jdps
151,chesterdm
152,chezlene
153,chikezie11
154,chinesedimsum
155,chrisflau
156,christiantwin1
157,chris_ammon
158,chuck1985
159,ck25
160,cktt
161,clarke1106
162,claytonb
163,clutch7936
164,cmdev
165,colinox
166,colinr_xxi
167,colmdefreitas
168,cone-one
169,conflictedheart
170,coollmo
171,corieshep
172,correctnet
173,cristalle2021
174,crystelagard
175,cytzi
176,d-howe64
177,d0ts
178,d1kidneybean
179,d2592
180,dahtrinilad
181,dalepayne2010
182,danesuepaul
183,dangbang19
184,dannymohammed
185,danram77
186,darkknight200310
187,dark_gutz
188,darriusrsingh
189,darronbristol99
190,darrylramnarine
191,darthinvader13
192,datcrazyookamii
193,daveramnath
194,davidtweedle
195,davidxjs101
196,dbossel
197,ddeschain
198,deadeyes1
199,deanofella
200,deepmimic
201,defeltini
202,delicioussail
203,delphin29
204,dembay
205,den1son
206,denique29
207,dennisdemenace7
208,denzeltfigaro
209,derderiopb
210,derekos
211,desmond_atreides
212,dexterkirton
213,dglockitt
214,di1232
215,diego162001
216,diehardstriper
217,dieseldawg
218,dimples4027
219,dinogr
220,dirmid
221,disciplel
222,divinhawk
223,dk-tt
224,dodgyjammers
225,dominic868
226,dominickles1
227,dominicparris
228,donintrini
229,dr3n17
230,drbigpox
231,dreadshaka
232,dreambook10
233,dreismanx
234,drew0088
235,dristar94
236,drkngb4
237,droid5800
238,druveonecanobe
239,dusk43
240,dwighthayling27
241,dybalaz
242,d_rattansingh
243,e9719
244,eb1071
245,eddy77dds
246,edernaldo
247,edmundberg
248,edwardlaquis22
249,eisenman
250,elirichards
251,ellanicole007
252,elliotthechesser
253,emraldjones
254,equalopening
255,esmerogers
256,ethan3188
257,evovenger
258,exitaz09
259,fadilahmed
260,faith_love1
261,fanatical_king
262,farai40
263,farid_xy91
264,fatmanroberts
265,fazehd
266,fclaverie
267,felix6911
268,fenrir1tt
269,fireisbadatchess
270,fischer_369
271,fivepastmidnight
272,flemco
273,flub11
274,forgetfulescape
275,formerdxrp
276,forress
277,foxyfowler
278,fr1998z
279,frankguts
280,frankhart
281,freethinkerkrm
282,freevybzkartel
283,frostysoap
284,fuego1
285,g-toast
286,gabrielvshulk
287,gadedsylvanna
288,gaiathefiercerook
289,gail2020
290,gasper0116
291,gdsghost
292,geoppls
293,germanalbert
294,ghostynips
295,gibbs_kurt
296,gideonramcharan
297,gjrosales
298,godplanet
299,goldenboykhadell
300,goldenboykhadell360
301,golden_experience
302,gordonethem
303,gost131
304,gotwoopa
305,granty06
306,gushopper
307,gutczech
308,guuji
309,gypsumboss
310,hafffo
