player_index,username
0,1300mmrpromoraidboss
1,14tofu
2,alcidezanetti
3,allomi7
4,amlarev
5,anomurcio
6,anzjejgolota
7,appelgrootgroot
8,arditarmin
9,avarela04
10,awakehuman
11,azizzro
12,bedazzledbear
13,benjamin_b
14,birchak
15,bisintxo
16,bluecrab47
17,bmoses1992
18,bobbygodiscus
19,bobo2282
20,bolinii
21,bproud
22,brutegolf
23,bryjao
24,bwayan
25,champion_world
26,chessnoob727
27,chessterviper
28,chris78510
29,clddfy
30,colinsknight
31,coolingpanda
32,couples
33,cozycow
34,danielbassoon
35,daremonai
36,darseuncol
37,dayvson123
38,deqrep
39,dera06
40,det_diaz
41,dontpushtoomuch
42,doritoboy
43,dufedoppa
44,durebela
45,ebchesseb
46,ebhagen
47,echos88
48,el_justiciero
49,fiddlefado
50,fidemasterwannabe
51,gevana
52,ginghamania
53,gordoleshark
54,gregchessheffley
55,gribabas
56,groggo
57,grqz1011
58,gundule7
59,gustavobecquer
60,hamlet1601
61,hardybeacon
62,hdppeligroso
63,hellohellohello
64,heroicclient
65,iazpitarte
66,ihorkyrpa
67,ikx
68,jahaja
69,javacertified
70,johnnymagia
71,jonar1234
72,jpbechara
73,kallikramnik
74,kap-10
75,kaziuks
76,kennyta69
77,korgiur
78,koushelj
79,kpn296
80,kutluerk
81,l0vechess22
82,lascimmia
83,lazar0516
84,lezec
85,lokos21865
86,loosing-now
87,lowkah
88,m4gikarp
89,macs94
90,mallemax
91,maraljinai
92,memoarichikaari
93,merfl
94,mig_b
95,miseriapopular
96,misteryellow92
97,mondo_meraviglioso
98,mr_fezziwig
99,muledunn
100,muscaria0
101,neylan16
102,nojam
103,odakota
104,oraculodedelfos
105,orcuncelik
106,pacific43
107,parthh1
108,pelipole
109,pelissari
110,peterline
111,phoenixbuss
112,porridgewithraisins
113,proitos
114,protecctheking
115,rainpawncho
116,rajat_khandelwal
117,remmieveritas
118,rickablsh
119,s1m0n38
120,sago0l
121,samhauspurg
122,sandyrulz78
123,sapphireelixir
124,saurabhadep
125,shahtrandj
126,shepherdtotheflock
127,shlomikatz
128,siatarakay
129,silosa72schacht
130,simonrogers
131,skill4
132,skolache
133,srgtr
134,stpubru
135,supercass
136,tedrt
137,terrable_speler
138,thekingsac5000
139,thuangizm
140,timm999
141,tkho
142,trumptrainq
143,twinsdriver
144,velvaan
145,vitoonsila-on
146,wilsonmedcalf
147,wissouiche
148,x139285
149,xabireke
150,yolomcduff90
151,zamirhav
152,zeus0850
153,zhyon728
154,zippydiddy
