player_index,username
0,03341
1,03kcin18
2,05flower
3,0716ericsson
4,0824jinyu
5,0923qaq
6,100gg
7,1012andrew
8,10430797
9,11008ken
10,119977
11,1209emma
12,1213chess
13,12changk2
14,12chips
15,1978alydar
16,19demogo
17,1amtony
18,1ch1ban
19,1expected
20,1nf1n1t0m
21,1vonne69
22,2020iaa
23,20bees
24,22jaket
25,23samuelw
26,28750
27,2xjelly
28,30ivyc98
29,32184494
30,33cannotsleep
31,3835
32,39892462
33,3zero3
34,405blk
35,4ar0nnnn
36,4everwing
37,4mp3000000000000
38,500kgbig
39,54moemoe
40,5545465456sadfsd
41,67han
42,6oy
43,72130hi
44,7326152
45,77fan
46,7803xie
47,818yuz
48,81giantgoat18
49,8437dba9
50,878a
51,87owo87
52,94crazy
53,94crazytw
54,9527tool
55,99problemz
56,9klo
57,a0968435203
58,a10235
59,a251082
60,a28283878
61,a330700l
62,a7070520
63,a72900418
64,a747040
65,a8bitcoin
66,aa22222393
67,aaaouoaaa
68,aagarbageaa
69,aahuaa
70,aapricityc
71,aaron9433
72,aarrkbaarrk
73,abcd1234efg
74,abcd12z
75,aboxofmemes
76,absentsong
77,absentyarn
78,ace0417
79,achangey
80,achaster
81,acikosnow
82,acti1
83,ad09817001
84,adalbertchiou
85,adamtw1202
86,addie1978
87,addiswu
88,addpupu
89,adelegod
90,adhicahyo
91,adiemusxyz
92,adityasonune
93,adnanmuzaffar
94,adrianlaichang
95,adrienlaratte
96,adryst
97,aekazero55123
98,aeroz2
99,afei0
100,afei20
101,afpoiwf23
102,afraidhose
103,africaman6
104,aghzn2017
105,aguang2927
106,ah-buu
107,ahldrinyu
108,ahoygood
109,ahyeswar
110,aidaphone
111,aiden01pd2025
112,aidenchiang
113,aimaxe_97
114,aipower
115,aircurse
116,aj9133
117,ajoekuo
118,ajpt2005
119,akali7749
120,akasko
121,akimochi
122,akun1579
123,al3750
124,aladeanwu
125,alan000004
126,alan183052
127,alan2747
128,alan900801
129,alanjhong
130,alanwang13206
131,alanwuhoo
132,alan_hou
133,alber112
