player_index,username
0,14lenny88
1,2tothealephnull
2,3women
3,4ormed
4,a36g94l72628k36
5,a4092a
6,a8fl
7,aadil2103
8,aahil138
9,abalungi
10,abdallajr0
11,abdeelk
12,abdellacizaille
13,abidra
14,abobaca
15,abshir2021
16,ackurt94
17,addysmith
18,adeboandrew
19,admiralmubutu
20,africarealjacob
21,ajunanewtonbrian
22,akampurira
23,akampuriraadidasi
24,akathechamp2428
25,akiroito
26,alchimiography
27,alexbrecx
28,alexiswatala
29,alexmaca117
30,allanndaula
31,almo7nak
32,alphazero96
33,alvinwanda
34,ammar0045
35,amomentofbruh
36,andertius
37,andrewsydneym
38,andzejtatol
39,angurunguru
40,anilalpayy
41,annoyingbasketball
42,anotherjuan
43,antisaseba
44,antoniohoffmann
45,apenyamoi
46,arban256
47,ariistotlle
48,armaduke
49,arnd15
50,arndanst4
51,arnoldraptor
52,arpitaagrawal
53,arsene743
54,asdfg123kl
55,assassin2017
56,atasxx
57,atwine
58,aureliusmarkusjonath
59,avelelas
60,b2me3
61,bagzy1
62,balouiz
63,barly5
64,barterbly
65,bashirmmtb
66,batuhan907
67,batuusajohn
68,bava7
69,bazsam2
70,bblanket
71,beckermates
72,besigyerogers
73,bestassassin
74,bhattchess
75,biceps1991
76,bifaki
77,bigdaddy123457
78,bigjinuganda
79,bigmantyrone76
80,bigpan
81,biko23
82,bilboejoeurbro
83,bilken
84,bjelozubijazavac
85,blackdaffy
86,blackice688
87,black_assasin
88,blakmankyng
89,blentduran
90,bobmunabi
91,bocath
92,boneyx57
93,brennanhenning
94,brkhnzn
95,bronislavf
96,brotherbish
97,browniefighter77
98,bruceug
99,bruce_smurf_v1
100,bruhemoji68
101,bruhkpopfan
102,buguri
103,bukky9060
104,bukosim
105,bwoye
106,byronmaty
107,c4deszes
108,c9_trap
109,caleb256
110,calimotxo
111,canasta13
112,cannabiscarl
113,carl1988
114,cartenday
115,catherinekamya
116,caule
117,ceilingboi
118,centera1
119,cequarti99
120,charles1185
121,charles7682
122,charleskiragga
123,checkmater8
124,cheeserolls
125,cherryxiii
126,chessfuntik22
127,chesslearner2019
128,chessplayerforreal
129,chessplayersadge
130,chess_sc
131,chickenasparagus
132,chickenfeet404
133,chrispers99
134,chuckornottochuck
135,chucky256
136,churchb
137,ciluda
138,claysious
139,cleitinhocapixaba
140,clutchafrica
141,cmagx123
142,code500
143,cornealtrephine
144,coronavirus254
145,crazybus1999
146,cypherspeed
147,c_mikael
148,daltonderricks
149,danidanidani9
150,danielevigano
151,daniel_rnsd
152,daniviz
153,danlama
154,dannotfound
155,davidwakoko
156,dekapitacja
157,delai_diplom
158,delmiq
159,deroallan
160,devabha
161,devendrashrotri
162,diavolokingcrimson
163,dirtyjones
164,ditaniman
165,djoxal
166,dkonftw
167,dkroll
168,dkwesiga
169,dodi90
170,doodoofard69
171,doris130
172,doskoza
173,douknowdewae
174,dre8
175,drgracea
176,drzeewater
177,duckythechessmaster
178,dud3lix
179,dumsdams
180,duncank1
181,duquegod
182,eaxo1
183,edgargear
184,eduwa2
185,eelias13
186,efealabas
187,egeege3000
188,egemen345
189,egrpjopjog
190,ehasim
191,elamuladanielz
192,elikwemboi
193,elohymedir
194,elotu
195,elviskamara
196,enock0
197,enricobecchi
198,eric0227
199,eric256
200,esykezy
201,etha6
202,etha67
203,ethaneol
204,ethan_k1
205,evilpenguinqq
206,evolvepwp
207,excessqalid
208,exoticcranberry
209,f9cus
210,fakzzz
211,faridmatovu100
212,fatgaben
213,fe4rless310
214,feelsdaknman
215,ferdinandkuteesa
216,feytulla
217,firatsivrikaya
218,firsttimechessnoob
219,fischer_ocheche
220,fishu15
221,fleecejohnsn
222,flimsysaber
223,flipnst
224,flowerdom
225,forsenbag
226,fozenhammidi
227,freegame1453
228,friedrice0
229,frinkiexan1
230,frisku
231,frobbz
232,funtabulous
233,g3raldofficial
234,gagahouete
235,gambitprinces
236,ganesh831gkj
237,gaonador
238,garriga10
239,gaucho_official
240,gavinmozzarella
241,gema1565
242,gentledinner69
243,gentle_pp
244,gentor600
245,ggxhard
246,gianihoterfo
247,giannisakumpo
248,gill2330
249,gmdestroyerwarlord
250,gmedifire
251,gmjoshua7
252,gmkisuulegordon
253,gmnathanielhiggers
254,gmsareweak4
255,goatman11
256,goatye001
257,godaleo
258,goettie
259,goldenducky
260,goodcheer
261,goooq
262,gorhem
263,gracempa1
264,gracenic
265,graj_a3
266,gratiasndb
267,gregmagezi
268,gregmeister99
269,gregory59193
270,gregorypetrov
271,grounderblacki
272,gwamoiza
273,g_line
274,hadnerb
275,haggaikent
276,haldridge
277,hangingoak
278,harry5head
279,haticakakas
280,heeheemanofneverland
281,henito73
282,henrii
