player_index,username
0,0be1isk
1,12345cmt
2,1_pizzaiolo
3,28282882
4,2cupshakur
5,3-pac
6,30011650
7,4lichtjaar
8,5ecre
9,5upola
10,62317a1612
11,aaronglenn
12,abcxxxcba
13,achessworkorange
14,acmberlin
15,adalbert_habdank
16,adrianachechick
17,adriankla
18,adroft9
19,afylaktos
20,aggressivelylaidback
21,agohoj
22,albasterashcroft
23,albertkuglis
24,albondy
25,ales26
26,alexdi0421
27,alexiyi
28,alexqtr
29,allerletzterversuch
30,alp4913
31,alpha-centaury
32,alt_tan
33,alwaysbeblundering
34,amorellen
35,amozz
36,ancephalatic314159
37,ancientwork
38,andrewglobal
39,andrewpooface
40,andreys161994
41,and_stuff
42,aniruddhasaikia
43,anove
44,anovicechessplayer20
45,antarticanudistteam
46,antoinedelacroix
47,antuan99
48,anxioustrepidation
49,aphil21
50,apoenzim12
51,apostolicwarrior1015
52,arafurious
53,ardagucu
54,aretus
55,arkansania3
56,arliemahony
57,armhuhu
58,armsandchest
59,arthur192
60,arthur6957
61,artlinebg
62,arya-akheil
63,arzeerz
64,ato587
65,aventus
66,avi2020
67,axmbeaus
68,ayxejo
69,azzphat52
70,a_nu-start
71,baboon69
72,bad2thebone786
73,bagthe4ag
74,balearicmike
75,balkoblet
76,bannednerfag
77,baraknet
78,barrybbenson01
79,basztifantaszti
80,beantub
81,beefburger911
82,behemothkotik
83,behridor
84,benadrylofgod
85,benne22012020
86,benvenute
87,berengeno
88,bermooo
89,bert_harmon
90,bexul2
91,bhavukkaul
92,biggus-brainus
93,bigidiot10
94,billiamshakspeare
95,bishop960
96,bitrich
97,bkpbkp
98,bktpany
99,blackcats55
100,blackpegasus004
101,blackredw
102,blee240
103,bloeffler
104,blompojken0
105,blu3_0ps
106,blueivan
107,blunderingbaron
108,bnejy
109,boatyjordan
110,bobbyc86
111,bogwandi1200
112,boilingcum
113,boinkd
114,boredpint
115,breathtakinglybasic
116,breweylopez
117,briamn
118,brianspead
119,bruninho69-420
120,bryceyen25
121,bulke
122,bunnymanxd
123,burdarpk
124,button_bird
125,buttwholez
126,bwill2
127,c3beatty
128,cadelazaro
129,calzonebeeetch
130,camel_rhayader
131,capitanfindus
132,capocuoco
133,captainbradbollock
134,captain_giblets
135,cariohara
136,carlistos
137,carlosatc
138,cartoonsr43
139,cberto1
140,cephalop
141,cerebrum_et_mentula
142,charmoogle
143,charmslol
144,chaunceygardiner
145,chayannejr
146,chess3rs
147,chessfulfaith
148,chessitron
149,chessmasta_420
150,chessmommy69
151,chessticlles
152,chesswjess
153,chessyoutoo
154,chess_of_the_durbvls
155,chibbs23
156,chicosrun
157,chiefted
158,chipscruffychip
159,chris-tortilla
160,christomak
161,christos99
162,chujchujchujchuj
163,ciarantemppp
164,cinnamonmusiquita
165,citrusleo
166,cla63
167,clausbarbie1
168,clementslayer
169,clochi
170,cobass
171,cockballtorture44
172,codyelkhechen
173,coeniscooljeweetzelf
174,coldequationz
175,colonialwizard
176,coolbutfool
177,coralelf
178,coronarona
179,covidproject-1984
180,cowbeau
181,creative85
182,cremnitzwhite
183,cristobalbaehr1955
184,cyberdog23456
185,d4nnys
186,da420luke
187,dachsdoge
188,daedalusprice
189,dame1796
190,dan2513
191,danbarddan
192,danch271
193,danielcerquera
194,danielthorr
195,danndiablo420
196,darkuzii
197,daverose24
198,daviderdeber
199,davidjamesmackay
200,davidllesuy
201,davidmarco
202,dbxwtkl5wl
203,deadlydudeunleashed
204,dead_lee
205,deathby1ksnootboops
206,deceneu2020
207,dedv1990
208,deepblue0296
209,deeznuts175
210,dephilli
211,dereddbaron221
212,derkuniverse
213,desched
214,desfashionvictim
215,despi36
216,de_jan2202
217,dflash254
218,dfloorislava
219,die_tr
220,diganthrock
221,dirtydan3453
222,dirtydeedsdone4c
223,djfrancogoja
224,djpuravida12
225,djukiii
226,dnkalinin
227,docventura
228,dog_a_pope
229,domnul_geo_84
230,doncruzdelacosta
231,donfitz
232,donjosetito
233,donnono146
234,dormiol
235,dracula667
236,drclivemore
237,drdfun
238,drevo432
239,drezo0
240,drmariosaric
241,drownmeintruly
242,dubroka
243,dukboogem
244,duonglsback
245,dyinginsyde
246,dylancrombie
247,e-r-o-c
248,earlyaction
249,edeisler
250,edwinmapalo
251,egewe
252,elabaddon
253,elagabalus123
254,elblaze
255,elcardinal
256,electricvehicle
257,elipoo
258,emgip131
259,emmiefoucaut
260,enrixe21
261,epochalking
262,erick10017
263,f003
264,fabiopessimo
265,factscientist
266,fadedranch
267,falsafah
268,famoushickory81
269,fandango_grim
270,fang_nuo
271,fatrobhino
272,faustocecina
273,felipemontero9
274,felixlpetty
275,ffffffffffsz
276,fffffffffsz
277,ffffffffsz
278,filipvd
279,finn983
280,firststiffy
281,fjorozco
282,flaviomassimoelmi
283,flavumsol
284,flawlessgarden
285,fluffycornz
286,forfun00
287,forkthapolice
288,fortniteblade
289,francescoturro
290,franciscus2
291,franciscus70
292,fraxxxx
293,fredericusrex
294,freds-schackotek
295,freeghislaine6969
296,frezee
297,friendly_pounding
298,fritz_dt
299,fritz_nrw
300,ftbmr
301,fungazi
302,funnygambit
303,funyunz
304,fuzzyalej
305,fyodorlevinsky
306,g0ldiemac
307,gabrielmatamoros
308,gabs25
309,galgalim
310,gamasode
311,gansterdpr
312,gballa33
313,gesu_666
314,getherdoneduder
315,giesethebeasttt
316,ginagina7
317,giulioiidellarovere
318,givesmethehorn
319,gjazzy
320,glikodin
321,glueman16
322,gmsike
323,gmstinky
324,gmwith900points
325,gm_gafarov
326,goddom
327,godislight
328,godissadlydead
329,godzofthor
330,god_is_big_lie
331,gofrettini
332,gogoosh
333,gohomedilma
334,goldenglove2000
335,golf2
336,gonnabearhug
337,good_openings
338,gordonwade
339,goretto
340,gpvproplayers
341,grandchon
342,grandlarsery
343,grandshow
344,grappao
345,grnadmsater
346,gropah
347,grostasbarbu
348,grtdn43
349,gsanthiago
350,guffy9
351,guiscacco
352,guoguan
353,gurkunwar
354,gusdelux
355,gusguipex
356,guycovert
357,gyankoos
358,g_c_polerio
359,h0meb0iy
360,h3ngul
361,hades
362,hagaiamit
363,hairbear1308
364,hans_tau
365,happydiwali
366,harrypotter8002
367,harryt808
368,havingbadly
369,havka
370,hawkdriver
371,hbbbbbb8150
372,heckelphone
373,helghart
374,henrich04
375,henryso
376,hernancortesdemonroy
377,heropon69
378,hesus92
379,hexlington
380,heygravy
381,hijodeputa007
382,hikarukann
383,hipporegius
384,hlszsz
385,homerddog
386,homotopia
387,honesty77
388,hornpit
389,hotboxing
390,hotboxlederhosen
391,hoyasaxabluegray
392,huanhotze
393,huffy3670
394,hugechessloser
395,hughdepayen1099
396,humansplendor
397,humbledtriumph
398,icejahman
399,icicic78
400,idriss69210
401,ignaciotp16
402,ignasicarreras
403,ikatatafischi
404,ilcondor
405,ilgattoelavolpe
406,iliketoplayhorrible
407,imagination33
408,imayhem
409,im_the_pope
410,indrelie
411,infamouscandle
412,infamqt
413,injailsoon
414,injustica
415,innermoor
416,insboy8
417,ireireire
418,irsyad475
419,isaaceady
420,ismael2892
421,isuckatchess12335
422,itsbrdc
423,itsmadeon
424,iv1234
425,ivangeleyev
426,ivanra82
427,iworkallday
428,jaari8
429,jabzuu
430,jachammer
431,jackaritchey3
432,jackocapet
433,jacksavv
434,jacksontimbers
435,jacquesdemolayii
436,jacshane
437,jago-capanegra
438,jagsi4
439,jalimhabey
440,jamesbondooo7
441,jamesmichalski
442,janeiac
443,janhols
444,janumemdigram
445,jaqueencuarentaytres
446,javs1983
447,jellyheadscaff
448,jesperwouters
449,jijul87
450,jkjkasdfgfgf8989
451,jmong9
452,joe9872
453,joeasimon
