player_index,username
0,123a0
1,1738dark
2,afrikki
3,agten
4,alexzhu2004
5,alwaysafloat
6,andrewborisov
7,backinthemix
8,backtothelobbynoob
9,bay343
10,beemagicsvg
11,bequiadoc
12,bihodangerous
13,bivetap944
14,blind_bittern
15,blu-na
16,bojiggity
17,bosslady2804
18,brownboots
19,bruce14m
20,bullyfan889
21,confused-psyduck
22,danielfogg
23,derpawnfresser
24,diego228
25,eddy2b
26,edvardjoh
27,emrahbilici
28,enlightened_toad
29,etebong
30,fmcalcagno
31,francocalluso
32,gerry458
33,giahbeats
34,govindagopal
35,gvs51
36,hschest74
37,huy0869
38,jacobelbrooke
39,jaygumbs
40,jeanv2
41,jhuang01
42,joshuadelima12
43,jvmorren
44,karmadoggie
45,kemmy0
46,kfarams
47,knowah40
48,knravn
49,lamafuchs
50,leahx111
51,lilchubby1
52,malman958
53,mantis_101
54,marcberger36282
55,marchisio58
56,markiyankonyk
57,markyboy101
58,mavors99
59,maxzac
60,mayroblue
61,meekomeeks
62,mpowell161
63,njspyx
64,njuskica
65,no_name4
66,okjack1
67,oliviereugerre34
68,otis6957
69,penzamabela
70,pio42
71,poorlostsouls
72,raficejames
73,rafolinha
74,rainman40
75,raygabs
76,reds_784
77,sirzugzwang
78,skillfulscore
79,squaredot
80,starikimore
81,stopkillingwhales
82,sunseeker888
83,suntzu15
84,supertron1978
85,surfer001
86,te2ry_d_gr8
87,theteddymack
88,thevisitor1968
89,timurergashov
90,toluakin
91,torch3fl
92,vaughanruss
93,vincentblom
94,vincentnecniv
95,vincyfrog
96,wizary101
97,yuksel1907
98,zxcvbnm123as
