player_index,username
0,1yusha1
1,3rrorrr
2,5anja
3,abrahammustafi
4,aceg13
5,ainsworthmlg
6,amellery11
7,angelitoagno
8,apranavapranav
9,artysocke
10,at-at2021
11,attractivejoy
12,atyourservice21
13,biav4
14,bms75
15,bob4nk
16,bottloss
17,bt38670
18,c18h32o16
19,chad102
20,chimoo
21,colin911
22,conrad_cash
23,corkinette
24,couchpotato-exe
25,crimlock
26,dannydog1979
27,datboi2801
28,dave7792
29,dazkiid
30,delice_1
31,der6dichboyhart
32,dommalaguenha
33,dookierookie
34,ehabt
35,elliesmelly12209
36,emperorlelouchxi
37,essy022
38,faintlava
39,faizzap
40,fa_strange
41,ffjvak
42,fiorellavega
43,flamard
44,freefire38
45,gauravmax
46,gbc11_1
47,ggbytch
48,gissseba
49,gogop98
50,guldino
51,hcwh
52,hm2100
53,humplick
54,hussein-alnaseri
55,ianrosenbaum
56,idontknowmynameok
57,inf_lux
58,inkmne
59,islandrider
60,itugi10302
61,jackass2501
62,jeausbread
63,jedstuart
64,jhunsky13
65,jimilennon
66,jjw1104
67,johnbean
68,joshgilmour
69,joudy25
70,jslb84
71,jto817
72,jumpinghat
73,justexcellent
74,justintakencracked
75,karlheinzkebapparty
76,kevoist
77,kikiwanwan
78,kirill10008
79,kleinekobra
80,kutnermd
81,ladydimppz
82,laemel
83,lelouchlibrittenia
84,leonardobraga
85,lovelybhardwaj
86,lucia968
87,magrov24
88,marospristas
89,meliodasdragonsin002
90,miguelcastellanos101
91,mileseeeeee
92,mongminshall
93,monsterlelouch
94,muzzlaing2020
95,noamapplesauce
96,nolifeorname
97,odivot
98,paganino
99,papa-de-penguinos
100,pbear
101,polakkmatafakk
102,realvsaucemichael
103,richarddraxlbeck
104,riedte
105,romica64
106,rookesy
107,ryuuzito
108,sacsacmatey
109,sakaimainemaine
110,saulo777
111,scharlatan17
112,scorpiusbtz
113,sexyjesus23
114,swaraj182
115,szerelmes
116,taskforce6
117,thefeliqz
118,tlloyd7
119,tomi167
120,trickskillz
121,vahid021
122,vandalija
123,vtl07
124,who_is_attention
125,wills02
126,yeruel
127,zilemensur
