player_index,username
0,-dr-
1,021_shoosh
2,2ez4z0078
3,3507honduras
4,7barbel
5,8jausti
6,ac-reaper
7,actualcupcake
8,agadnator
9,ahmad_g02
10,aking4
11,alfredoofrivia
12,alittlebitofstheno
13,allen7890
14,almogshiffer
15,alonthebrettlose
16,alphazeromember
17,am181am
18,amistad755
19,annkittenplan
20,areacode
21,aribolab
22,arnax516
23,ashish133
24,aurelius63
25,autumnannice11
26,autumnjoy8
27,avavo
28,awesomegoals
29,bahromturoni
30,banjisss2x
31,barakban12
32,ben5804
33,bergnicolas
34,betterthannoob
35,biflon
36,bigdsinz
37,bilibiz
38,binobobobon
39,blindmonk1
40,bllitz
41,blobbfish
42,blong
43,boatymcboatboat
44,boogerman147
45,booooooo1232
46,bo_neo
47,brand00711
48,brothers6969
49,burghito
50,b_d_k
51,b_sch
52,cameteddy
53,caroldecourcey
54,cempasha
55,cenkhasturk
56,centraltrack
57,charlymondadientes
58,checkdees
59,cheds69
60,chessfighter2018
61,chessking340
62,chessmasterchineseho
63,chessmasterdub
64,chessnub0r
65,chessterfield64
66,chezsseiredelweisbit
67,choopahlah
68,cillianmaughan
69,cinematicensign
70,coachburgoslati
71,compression
72,connerlogan
73,correctwolverine
74,coya13
75,crimson_poet
76,cureforcorona
77,damagednoise
78,daniiielll123
79,datcd6
80,deanhamer
81,deathlyclaw
82,derhenker7
83,derision_division
84,determinedvision
85,dhadengalloway
86,didimahathorn69
87,diegokush
88,doctor369
89,doug7446
90,drfrankenstein99
91,dunker22o
92,eleguap
93,elitexcalibur
94,elloew
95,ematt
96,emillechhowallaisbad
97,emircanb07
98,energeticbirthday
99,epic_gamer_moment
100,eres-una-acemila
101,erielake1
102,er_is_geen_hoop_meer
103,fa2013
104,fanke7756
105,fhritp101
106,ficslagger
107,firelordmomo
108,fkyildir
109,fondaine
110,forcesimgoodboy
111,foreignstoner84
112,frankb37
113,franticangel
114,freestyle155
115,frokovi
116,fthdgn
117,funnychess26
118,gamergod9200
119,gcw99
120,gemmalashly
121,ghagzjr
