player_index,username
0,125court
1,4lettres
2,8halls
3,adhamcrichton78
4,alexwhoyoudontknow
5,alisakr66666
6,andrsams
7,anysmith
8,astur222
9,bampok
10,bark9mad
11,baronbalbagi
12,bendsinister
13,bigknight695318
14,bigmoonco
15,bigold79
16,bingbonghello
17,bloggerr
18,bonifaz2013
19,boozeandrunningshoes
20,boysdontcry
21,brat763
22,bugzilla_2020
23,catchor777
24,chessbot5001
25,chesskingsac
26,chompyo
27,cirodm
28,clhr
29,cottonpicker1973
30,dagobertduck824
31,davitenono
32,delaforges
33,denisereyes
34,djehleulueeu
35,dmootzler
36,domicio
37,dondotard
38,dramahorse
39,dummyrunner
40,dusanbosiljcic2
41,errmehgherrd
42,extrtersi
43,flood_boy
44,fokkiie
45,freespirit
46,fruittownbrimm
47,gaagaadaamsky
48,generalaldo
49,gertjoling
50,getdone213
51,glendapakoa
52,iatika
53,icedwhitewolf
54,iftheworldwasending
55,ireallydonthaveaclue
56,is1988
57,itsbedo
58,jacho83
59,jacobo_00
60,janelhutton
61,jasonsharp66
62,jcelauria
63,jebise1
64,jelka08
65,jerem98800
66,jetsunmundy
67,jiggab
68,jjaffer
69,jmcoots
70,johnsonxi
71,jonlykins
72,juliettenam
73,jwhsdkapstagvq
74,kaylindee14
75,kixnp
76,kizis80
77,koroko3456
78,larrylove757
79,likeag4mate
80,lolovoulzy
81,luigispawn
82,m00rsl4y3r
83,magnuscarlsen202
84,marcovanuatu
85,marioman420
86,masight
87,mcdonaldf
88,mckinleyparkertravis
89,mev42
90,michaeln544
91,miktam
92,minorcocoa
93,momonisme
94,moumout
95,mrrobot_init
96,mrworldwide911
97,mvk389
98,narsur
99,nostrategicplan
100,nsbdjsbwbskshwbdkdhw
101,obreromalpagado
102,ofir2525
103,olegsorochan
104,orneb
105,paddfoot2016
106,patafino
107,pauleliaz
108,paulpheasant
109,pb2702
110,peterninja3
111,pikatsvik
112,plasticnarwhal
113,plawnn
114,pray4israel
115,professor_husky
116,qswh09
117,rachelcohen45
118,radrickdavis
119,rastamanotfound
120,reswsd
121,reyburn49
122,richardus_ii
123,rickymatsumoto
124,riozee
125,rjbotto
126,roadto1999lp
127,rookeshields
128,rookimonsta
129,rossmbower
130,samdenshchik
131,seansturgill60
132,sendmeanangel0
133,shankleash
134,sheppo88
135,shmooshis
136,silvanopato
137,skisail
138,snfsnssnf2712
139,spencermatthew2003
140,srber
141,stooldroppa
142,sugandesejuan
143,sung-soodevine
144,surfyplatypus
145,szachkrulpl
146,tallnick
147,teastood
148,thebestbytest
149,tommiza
150,tondeaf
151,topspin11
152,tpwiiikatj
153,trawolli
154,trickyscent
155,tubbytom61
156,tunafish1504
157,tuziki
158,ultimatewub
159,utherskiii
160,vanuatuboy1213
161,vanuatufever
162,vicuna2277
163,vinicius502
164,vuk40
165,w1seguys
166,waspaura
167,watrudoingstepbro
168,willycastro
169,xandree
170,yodaswangnballz
171,zayricch
172,zhenia563
