player_index,username
0,-theforce-
1,0043
2,007ek
3,007james0110
4,007rocker
5,00frederick00
6,00pudge
7,01chad01
8,0408
9,04lottie04
10,0730399043
11,07lukenee
12,07_sam
13,082-911
14,0mar13
15,0pinion8d
16,0rohan0
17,0sarahi0
18,0superman0
19,1-fat-cat
20,101_wizkid_101
21,10810thebest
22,111w1zard
23,123456789056cool
24,12345theoapteker
25,1234enric
26,1235231
27,123chu
28,123killdem
29,123me
30,13ryan
31,13termey
32,13thgambit
33,14744hunter
34,14naomi2
35,16rox
36,16tsotsi
37,170211
38,192mitch88
39,1960letsgo
40,1974boksburg
41,198304
42,1984adriaan
43,1993244
44,1997_now
45,19covidcorona
46,19dfs78
47,19meierb
48,1anthony2
49,1big_mo1
50,1dizzy1
51,1gerald2
52,1heathen2me
53,1howard
54,1jarah1
55,1keshlin
56,1kingpoacher4
57,1luvsum1
58,1onecoolguy
59,1potatosweetpotato
60,1q2w34
61,1regulator
62,1sithembiso
63,1sking
64,1stlanternmercury
65,1stpawnyan
66,1stturningstyx
67,1youngpablo
68,2006ryan2006
69,2018-aluta
70,2020seema
71,20988125
72,20kidsis
73,2100a
74,216812697
75,21blanco
76,21meeno
77,21sly
78,222newbie
79,2234god
80,22mike22_zar
81,25cc2910
82,25dragon00
83,2bblue
84,2bfrank
85,2gingercats
86,2knp
87,2pieye
88,2queens0necup
89,2shawtytizzy
90,2times5bop
91,2toby2
92,301212
93,324872
94,337lee
95,33nesbert
96,357magnum357
97,35m0n6
98,36johnh1976
99,3amnathan
100,3lr33n
101,3m1l5
102,3movegambit
103,3nity651
104,3phesians
105,3seasons
106,3somewithdaqueens
107,3uwan
108,420wizardslayer
109,420yenah
110,443_bill
111,44fuyana
112,47predator
113,4conscious7
114,4fgrejaz
115,4skinmuncher
116,4starowethu
117,4stringninja
118,4thestate
119,4zip68
120,50av8or
121,512qam
122,54321francois
123,55darius
124,5chu1z73
125,5foot10
126,5lethabo5
127,6230049
128,64squareboarder
129,64squares88
130,69420danklord42069
131,69biggusdiccus69
132,69flintstone
133,69ingbears
134,69notjafar69
135,6bloodcc
136,6ed_darth
137,6hans9
138,6wandilemsipa8
139,70peter
140,743
141,777willow777
142,79baggervance
143,7evenkings
144,7makes
145,7mat7
146,7reuben7
147,7stoolsample
148,7uckycharm
149,7wer
150,7william7
151,8-squ4re
152,87iceman
153,8magpies7
154,911rlovely
155,9454daniel9137
156,96ssehc
157,999999999s
158,9candyman9
159,9darius
160,9liveschess
161,9sean
162,a-007-2
163,a-don-001
164,a-girl
165,a-kay5587
166,a1a17
167,a3aan19
168,a3anbotha
169,a789025
170,a800300
171,a88h-14
172,aaaaah
173,aadamj7
174,aadielsa
175,aadilm213
176,aadiloooo
177,aals17
178,aapbaba
179,aaptwak
180,aaronburrsir16
181,aaronfinder
182,aaronkasompe
183,aaronnaidu
184,aaronsfaith
185,aaronzimb39
186,aaron_ludski
187,aarrushd1
188,aaryamann07
189,aavishkar2201
190,ab238
191,ab535
192,abacats
193,abatjour3407
194,abazeez11
195,abbiemanaka
196,abbyhendrickse
197,abcilliers
198,abdalrahmanwaheed
199,abdu503000
200,abdul-malickadams
201,abdul026
202,abdullahvincent
203,abdullah_h176
204,abdullatifcr7
205,abednicomaphanga
206,abel409
207,abeldz
208,abeltouring
209,abevisser
210,abhiboikilla
211,abhishek010803
