player_index,username
0,0966985419
1,1690sydkombe
2,2900tactinhos
3,2hype
4,4mck37
5,64pak
6,7wrap
7,99mysterio
8,a1m13k11
9,aaronano
10,abiud2020
11,african_boi
12,ajkhan85
13,akabusi
14,aka_inno
15,akenos
16,akshat028
17,albertosimz12
18,alex9878
19,alexandra_chi123
20,alexbuchedp223
21,alexnk123
22,alextems
23,alibaba815
24,alinodaboi12
25,allanchisulo
26,allanzed
27,amagrind
28,amasirschris
29,anbucorps11
30,and06
31,anderson_astro
32,andrew0566
33,angelic7
34,angelkayz
35,antonechokamfwa
36,apclay777
37,aquanet
38,arianacastle
39,armageddon_1
40,asale301017
41,asdfghjkloit
42,athlet01
43,au24k
44,aubbrey
45,aubreyshanzi
46,audacioussugar
47,aydnylmz7
48,ayenela
49,azarsayyed786
50,baar-ktnd
51,badtrouble
52,bandack
53,bashipromise
54,bazybuzz
55,bblessed34
56,beginner9888
57,beltik33
58,benali69
59,benda100
60,benji-esq
61,benzo45
62,bernarddodo
63,bessto
64,bigdlouis
65,bill021zm
66,billiebbaby
67,binalmac
68,bitirci
69,bizmacoma
70,blackjoka
71,bleco
72,blymentor149
73,bonifacekasabwe
74,bonnietumba
75,bp1713
76,bri819
77,briakan
78,brian844
79,brianchisulo
80,brianmusawa
81,bright12
82,brightonjr
83,btrueandcalm
84,bubble212
85,budisilaban
86,bugrlicious
87,bukwrm
88,bumi360
89,bunyux
90,bupe120
91,bupe8
92,burrowszambia
93,bwalyad4
94,bwalyam
95,byrne2020
96,caliny1999
97,cardwell3
98,casey_anthony
99,casperlsen
100,caswellsims
101,cdo0
102,chabby101
103,chaisha
104,chalamwila
105,chamamusonda
106,chamsamwape
107,chandachikombo
108,chandakays
109,changaian
110,changwediaz
111,chansa2020
112,chao36
113,chaoz90
114,charis1234549
115,charlesk03
116,charleskm17
117,charlie_3000
118,chasemwila
119,chasis44
120,chazzmaverick
121,chesspiecesatease
122,chesswizardlegend00
123,cheswayo130
124,che_wild
125,chibanja
126,chibuyesimweendengwe
127,chibwejohn
128,chileshe007
129,chileshe51
130,chilu413
131,chilu95
132,chimbofwe
133,chimukamukulumwa15
134,chinfs
135,chintu-nkhoma3
136,chipok20
137,chisanga1012
138,chisi2
139,chisonmwale
140,chitufa
141,chiuzuchilumbu
142,chockingninja
143,chola2020
144,cholam
145,chris11-mjr
146,chrisbassim
147,christopherchamba
148,chrlsnchbl
149,classickay
150,claudenyambe
151,clintonde-jongh
152,clueodomoka
153,cmgeorzeay
154,coachtl
155,cobrekobredabre
156,cosmaskanchepa
157,covidattack2
158,crescenssamu
159,crulzcreigns
160,cutiepie434
161,dainotech
162,dalizo
163,danieljeskiahs
164,darkknight200490
165,darkload-j
166,dav1996
167,davidchombakapembwa
168,dddjhyhhhhhbhu
169,deanmumba
170,dee_900
171,dev911
172,devilzknight4040
173,didjooha
174,dingase
175,dlungu
176,dn8p
177,donfrost600
178,dorrie794
179,douglas2018
180,dr-quark
181,drawde17
182,drex1010
183,drkxq
184,duba96
185,dwino95
186,dzhamalakusha
187,eagle2fly
188,ebandz44
189,echibu
190,eddybish
191,edwards0001
192,edwnjere
193,eemjay1
194,eizzymwale
195,ejk47
196,el3milton
197,ellisonk
198,elvi_24
199,ematongo
200,emm258
201,emmento
202,emmy2020
203,emusonda1
204,eneko140
205,engimani
206,ephraim35
207,epicgamerboy07
208,erick047
209,etiennexplore
210,etn2000
211,evans3001
212,evansmusumali
213,evelijah
214,excess6
215,excitedfur
216,ezralukhele
217,ezramulala
218,faithfulsoup
219,fal0303
220,fastbreak86
221,fedorafrog
222,feligo
223,fergd
224,fericore123
225,fidemaster88
226,fierceblaster
227,fiztgerald_chess
228,fkulofwa
229,foster40
230,fraxie
231,freddy3991
232,fredysibz
233,freeman58
234,freepown
235,fuegolu
236,funbrush
237,g12092461
238,gad_15
239,galamukani
240,gambit10111
241,gawenpowell
242,geofree97
243,georgeachirwa
244,georgyyussuf
245,geraldmazuba
246,gerryzim
247,gevald
248,gibson2000
249,giftkpf23
250,gilb3rto
251,gilblicious
252,gilead6
253,gjlkgf
254,glitchvmatritse
255,gmpeter1
256,gogomiser
257,golgotha92
258,gonorear
259,goodnameswheretaken
260,griffintoocool
261,guerima
262,gumbo24
263,gurambahshiev
264,hackershad
