player_index,username
0,100kkck
1,10chicago
2,111tom111
3,12193
4,13chessnoob
5,14henry2015
6,17_5
7,1thek1d
8,20411093
9,2lose
10,2ndchoice
11,380volts2010
12,3headman
13,3skipy
14,3_ack
15,4rc7uru5
16,69checkmate420666
17,7brkhv
18,a3380
19,aarongunz
20,abcd12345679
21,abigailchiwariro
22,abrahaml933
23,accuseink
24,achmoye
25,addkimzy
26,admire
27,adryen
28,aeronmjones
29,african_zimbabwe
30,agamaperm
31,aidan5f
32,ailuvdix
33,akeyakeyi4
34,akopila
35,akshards
36,akumire
37,al-shumba
38,albertkwaramba
39,albetorov
40,alck47
41,alectaneta
42,alejodevoto
43,alexander_holme
44,alialinko
45,allennio
46,alndex
47,aloism
48,alroyaidenfourie
49,alroyian1966
50,alsparov
51,amapasure
52,amina_shall_lose
53,ammarnour86
54,andeezius
55,andreira_chilin
56,andrew-blr
57,andrewohn4
58,andskriver
59,andymcd
60,anesumusa
61,anesumushate
62,anopaq
63,anotidaishegota
64,anthony0307
65,anthonyhopkinz
66,anti99
67,anytaps
68,archibald733
69,arcymistrzkot
70,arinito
71,aririm
72,aristkoutoungos
73,arnoldgada
74,aryanidnani
75,asaad10
76,ashleighkaz
77,ashleymasimo
78,ashleysithole
79,astrochig
80,atahas81
81,axnydoe
82,ayrish07
83,aytoulas
84,babababat997
85,babajohn
86,babario
87,babi_ngepet
88,baboon_for_the_win
89,bajosh
90,baloo86
91,baluparitala
92,bamboozle360
93,bappoooo
94,bardchess01
95,bariwaa
96,barttuhamsteri
97,batsiejeff
98,bbloodworth36
99,bchibaya
100,beastmaster357
101,beatinchess
102,beavan
103,belieca
104,bengaly
105,benjie000
106,benjie007
107,benk-e
108,bennengomasha
109,benniearfa
110,bennito5050
111,benntafara
112,ben_dover_mike_rotch
113,bepoknight
114,berenslachterr
115,bervinm
116,besirfejzuli
117,bezalelbuzz
118,bezusaltcheck
119,bh107
120,bhamurai
121,bharott
122,bhebhel
123,bianca411
124,bibistole
125,big6559
126,bigdave05
127,biggie9952
128,biggs81
129,bigppsteven
130,bigsalvo
131,big_baga
132,bingooooooo
133,bishopmuzorewa
134,bisweck
135,blackhole78812
136,blackleopard-04
137,blacky_105
138,black_itachi
139,black_n_i_g_g_e_r
140,blakkest
141,blanka123456789
142,blanox
143,blasilo
144,blazorayaz
145,blazzzzz
146,blekam
147,blessedhombarume
148,blessingmbalaka
149,bliffyp
150,blkxq
151,blokkh
152,blunderduck
153,bobdingosenior
154,boilingduet
155,boniniandrea
156,boooommmm
157,boots_with_dafur
158,bosskeder3
159,bothwellchikomba
160,bothwellgwacha
161,bouba22
162,boyd3008
163,brainychivenge
164,brandybrandy
165,brawlstar99
166,breadandsalt
167,breezymkw
168,brenaldc
169,brewsky
170,brianmakoni2015
171,briannyoni
172,brianzakariya
173,briasgggg
174,bridgeplayer1
175,brightonwesley
176,brizzy_p
177,brk2001
178,brnmun
179,brotha_moss
180,bruhke
181,brygelsigauke
182,bsavitan
183,budweiser09
184,bulletzza
185,bunduboy
186,butss
187,bvaru777
188,by_chk
189,b_mangirazi
190,cabralc
191,caerr52
192,cahob4
193,cajov
194,calculatorbomb
195,callmeyourfather
196,calvin_03
197,campsbayzim
198,captainbrian3
199,carlsens_boot
200,carmenvlahakis
201,carnelia
202,carokis
203,carpereed
204,cash555
205,ceejaychessmaster
206,ceejinator2
207,ceemacs
208,celanimoyo
209,cguerson
210,chabvamuperu
211,chagonda
212,chakosh
213,chanda798
214,changsterisation
215,chanty1993
216,charliehaywood
217,charliekmarre
218,chauzsimba
219,chbky
220,cheeslooser
221,chekanianyway
222,chekmatenext
223,chengyo
224,chess0se
225,chessaiolos
226,chessbrainy12339
227,chessbws
228,chessidiot69420
229,chessmaharaja25
230,chessmaster202104
231,chessnotes5
232,chessone5
233,chessplayerofcentury
234,chessredpanda
235,chibaba1987
236,chibaba22
237,chibhunz
238,chidakwa
239,chief_mashayamombe
240,chigumi
241,chijarat
242,chikara13
243,chikukuv77
244,chimpcheezy
245,chinyenye
246,chinyichacho
247,chiponda
248,chiquitoforpresident
249,chirimubwe
250,chisvo
251,chitenhe19
252,chokumanyara
253,chrismabhiza
254,chrissiboyyy
255,chucknorisk
256,chungous
257,claytonlee
258,cletous4
259,cleverpatsika
